X,Y,distance_from_Goolwa
339644.24,6044204.294,47050
339658.328,6044156.345,47100
339667.111,6044107.148,47150
339670.487,6044057.287,47200
339668.415,6044007.354,47250
339661.052,6043957.919,47300
339653.156,6043908.549,47350
339647.071,6043858.924,47400
339642.804,6043809.109,47450
339640.361,6043759.172,47500
339639.745,6043709.178,47550
339640.958,6043659.196,47600
339643.997,6043609.291,47650
339648.859,6043559.531,47700
339655.537,6043509.982,47750
339664.023,6043460.71,47800
339674.304,6043411.781,47850
339686.367,6043363.261,47900
339700.196,6043315.214,47950
339715.772,6043267.705,48000
339733.076,6043220.798,48050
339752.082,6043174.554,48100
339772.767,6043129.036,48150
339795.102,6043084.305,48200
339819.057,6043040.421,48250
339844.601,6042997.441,48300
339871.7,6042955.425,48350
339900.316,6042914.427,48400
339930.413,6042874.503,48450
339961.948,6042835.706,48500
339994.882,6042798.088,48550
340029.168,6042761.699,48600
340064.763,6042726.588,48650
340101.617,6042692.802,48700
340139.682,6042660.386,48750
340178.906,6042629.383,48800
340219.238,6042599.836,48850
340260.623,6042571.782,48900
340303.006,6042545.261,48950
340346.331,6042520.307,49000
340390.539,6042496.954,49050
340435.571,6042475.232,49100
340481.367,6042455.172,49150
340526.301,6042433.251,49200
340570.868,6042410.584,49250
340615.103,6042387.278,49300
340659,6042363.339,49350
340702.547,6042338.771,49400
340745.737,6042313.58,49450
340788.56,6042287.77,49500
340831.007,6042261.347,49550
340873.071,6042234.317,49600
340914.741,6042206.685,49650
340956.01,6042178.456,49700
340996.868,6042149.637,49750
341037.308,6042120.234,49800
341077.321,6042090.252,49850
341116.899,6042059.698,49900
341156.034,6042028.578,49950
341194.717,6041996.899,50000
341232.94,6041964.667,50050
341270.697,6041931.889,50100
341307.978,6041898.571,50150
341344.776,6041864.72,50200
341381.084,6041830.345,50250
341416.894,6041795.45,50300
341452.198,6041760.045,50350
341486.99,6041724.135,50400
341521.262,6041687.729,50450
341555.006,6041650.834,50500
341586.366,6041611.916,50550
341616.691,6041572.162,50600
341646.474,6041532.001,50650
341675.71,6041491.44,50700
341704.392,6041450.485,50750
