Site,Conductivity,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHY_GRN,WQ_SIL_RSI,
Lake_Alexandrina_Boggy_Lake_16,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_17,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_18,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_19,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_20,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_21,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_22,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_23,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_24,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_25,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_26,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_27,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_28,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_29,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_3,x, ,x,x,x,x,x, , , , , , , , , ,x,x, , , , ,x, , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_30,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_31,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_32,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_33,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_34,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_35,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_36,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_37,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_38,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_39,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_40,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_41,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_42,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_43,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_44,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_5,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_6,x, ,x,x,x,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_7,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_8,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_9,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_10,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Dog_Lake_11,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_1b,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Lake_Alexandrina_Dog_Lake_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_5,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_6,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_7,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Dog_Lake_8,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Dog_Lake_9,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Eckerts_Road,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_McHughes_Bay_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_McHughes_Bay_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_McHughes_Bay_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_McHughes_Bay_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_5,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_6,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_7,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Point_Sturt_8,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Mulgundawa_Recorder,x, , ,x,x, ,x,x,x, ,x, ,x, ,x, ,x, ,x,x, ,x,x, , , , , , ,x,
Lake_Alexandrina_Beacon_97,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x, ,x,x, ,x,x, , , ,x, ,x,x,
Lake_Alexandrina_Clayton_east_of_regulator,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Clayton_west_of_regulator,x, ,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x, , ,x, ,x,x, ,x,x, ,x, ,
Lake_Alexandrina_Ewe_Island_Barrage_site_1,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Ewe_Island_Barrage_site_2,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Ewe_Island_Barrage_site_3,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Goolwa_Barrage_Downstream,x, ,x,x,x, , , , , , , ,x, , , , , , , , , ,x, , , ,x, , , ,
Lake_Alexandrina_Goolwa_Barrage_Upstream,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Islands,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Middle,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Narrung,x, ,x,x,x, , ,x,x,x,x,x,x, , , ,x, , , , , ,x,x, ,x,x, ,x, ,
Lake_Alexandrina_Off_Point_McLeay,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Opening,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Poltalloch_1A,x, , ,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , , , , ,x,
Lake_Alexandrina_Tauwitcherie_Barrage_site_1,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Tauwitcherie_Barrage_site_2,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Tauwitcherie_Barrage_site_3,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Tauwitcherie_Barrage_site_4,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Lake_Alexandrina_Top,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Top_A,x, , ,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, , ,x,x,x,
Lake_Alexandrina_Top_E,x, , ,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, , ,x,x,x,
Lake_Alexandrina_Top_G,x, , ,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, , ,x,x,x,
Lake_Alexandrina_Wellington,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_off_Point_Sturt,x, ,x,x,x, , ,x,x,x,x,x,x, , , ,x, , , , , ,x,x, ,x,x, ,x, ,
Lake_Alexandrina_off_Rat_Island,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x, ,x,x, ,x, ,
Lake_Alexandrina_off_Rat_Island_200_m_SE,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Loveday_Bay,x, ,x,x,x,x,x,x, , ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Loveday_Bay_LA_Nth,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LA_Sth,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Loveday_Bay_LB10,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB11,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB12,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB2,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB3,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB4,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB5,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Loveday_Bay_LB6,x, ,x, ,x,x,x, , , , , , ,x, , , ,x, , , , , , , , ,x, , , ,
Loveday_Bay_LB7,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB8,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Loveday_Bay_LB9,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Meningie,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, ,x,x, ,x,x,x,x,x,x,x,x,x,
Milang,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, ,x,x, ,x,x,x,x,x,x,x,x,x,
Morella_Basin_North_Jack_Point,x, ,x,x,x,x,x,x,x, ,x, ,x,x, , ,x,x, , , , , ,x,x, ,x,x,x,x,
Morella_Basin_South_Salt_Creek,x, ,x,x,x, , , , , , , ,x, , , ,x, , , , , , , , , ,x, ,x, ,
Murray_Mouth,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_Goolwa_Beach_1,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_Goolwa_Beach_2,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_Goolwa_Beach_3,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_S_Ocean_1,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_S_Ocean_2,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_S_Ocean_3,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_Young_Husband_1,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_Young_Husband_2,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Murray_Mouth_Young_Husband_3,x, ,x,x,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x, ,x,x,x, ,
Narrung_Narrows,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Poltalloch,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, ,x,x, ,x,x,x,x,x,x,x,x,x,
River_Murray_Survey_2011,x, ,x, ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , ,
Salt_Lagoon_SL1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL10,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL11,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL12,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL13,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL14,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL15,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL16,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL17,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Salt_Lagoon_SL2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL4,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Salt_Lagoon_SL5,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Salt_Lagoon_SL6,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL7,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL8,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Salt_Lagoon_SL9,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Tauwitchere_Bogon_Island_East,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Tauwitchere_Boundary_Creek_North,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Tauwitchere_Long_Island_North,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Tauwitchere_Mud_Island_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Tauwitchere_Mud_Island_2,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Tauwitchere_Mundoo_Channel_North,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Waltowa,x, ,x,x,x,x,x, , , , , , ,x, , ,x,x, , ,x, ,x, , , ,x, , , ,
