Site_ID,Data_Type,Data_Supplier,Date,Easting,Northing,Total_Dissolved_Solids_mg_L,Turbidity_NTU,Alkalinity_as_Calcium_Carbonate_mg_L,Chloride_mg_L,Silica_Reactive_mg_L,Ammonia_as_N_mg_L,Nitrate_Nitrite_as_N_mg_L,Nitrogen_Total_as_N_mg_L,Phosphorus_Total_as_P_mg_L,pH_field,Dissolved_Organic_Carbon_mg_L,Total_Organic_Carbon_mg_L,Chlorophyll_a_mg_m3,Chlorophyll_b_mg_m3,Pheophytin_a_mg_m3,Total_Algae_Cell_Count_cells_mL,Total_Biovolume_mm3_L
Bonneys,Laboratory,AWQC,28/06/2023,347969,6037304,21800,4.5,150,11900,1.3,0.108,0.375,2.16,0.091,7.8,13.4,13.6,15.1,,4.57,190,
Bonneys,Laboratory,AWQC,27/07/2023,347969,6037304,39100,4.7,172,19300,2.76,0.06,0.123,2.13,0.092,7.8,15.9,16.9,13,,4.11,16000,
Bonneys,Laboratory,AWQC,16/08/2023,347969,6037304,43000,3,185,21800,0.91,0.024,0.034,1.85,0.012,8.3,19.1,19.3,1.79,,1.92,17900,
Bonneys,Laboratory,AWQC,28/09/2023,347969,6037304,43200,7.1,168,19900,0.33,0.011,0.018,2.42,0.034,8.5,19.1,19.4,1.11,,0.97,6500,
Bonneys,Laboratory,AWQC,20/03/2024,347969,6037304,55200,12,130,26300,2.72,43,15.4,16.52,0.95,8,22.8,26.9,31.7,,12.9,1380000,
Bonneys,Laboratory,AWQC,8/05/2024,347969,6037304,39100,7.4,133,19600,1.28,39,1,3.45,0.131,8.2,18.1,18.9,9.41,,5.14,75700,
DS Mundoo,Laboratory,AWQC,20/01/2023,310107,6064867,168,60,96,32,0.49,0.007,0.036,2,0.31,8,15.8,20.5,27.5,,20.2,6890,
DS Mundoo,Laboratory,AWQC,15/02/2023,310107,6064867,187,44,108,30,0.38,0.016,<0.003,2.18,0.297,8.1,13.4,16.9,29.4,,18.3,38500,
DS Mundoo,Laboratory,AWQC,16/03/2023,310107,6064867,270,30,129,61,0.41,0.349,0.01,2.27,0.134,8.3,12.5,16.6,46.8,,16.6,265000,
DS Mundoo,Laboratory,AWQC,13/04/2023,310107,6064867,10700,8.1,151,5470,<0.05,0.035,<0.0005,2.07,0.192,8.5,11.5,15.5,54.3,,20.2,353000,
DS Mundoo,Laboratory,AWQC,19/05/2023,310107,6064867,324,9.6,152,84,0.11,0.07,0.01,2.6,0.046,8.5,12.3,15.4,41,,11.5,144000,
DS Mundoo,Laboratory,AWQC,29/06/2023,310107,6064867,534,34,143,181,0.38,0.098,0.023,2.67,0.15,7.9,12.7,20.2,53.5,,25.2,105000,
DS Mundoo,Laboratory,AWQC,27/07/2023,310107,6064867,339,30,130,98,0.5,0.002,0.001,1.71,0.126,8.1,9.9,12.9,40.7,,20.2,495000,
DS Mundoo,Laboratory,AWQC,16/08/2023,310107,6064867,280,16,109,88,0.18,0.022,0.003,1.21,0.071,8.4,9.1,10.6,30.6,,12.6,491000,
DS Mundoo,Laboratory,AWQC,28/09/2023,310107,6064867,180,52,58,61,0.28,0.069,0.01,0.88,0.074,7.6,8.6,10.7,22.1,,10.8,214000,
DS Mundoo,Laboratory,AWQC,20/03/2024,310107,6064867,12300,15,98,7250,1.01,8,25.6,3.03,0.242,7.8,8.7,11.3,34.8,,15.9,183000,
DS Mundoo,Laboratory,AWQC,8/05/2024,310107,6064867,13500,5,113,7730,1.01,461,3.1,1.91,0.216,8,6.7,9,4.46,,25.1,91500,
DS Tauwitchere,Laboratory,AWQC,22/01/2020,320218,6059692,26200,8.8,139,13800,0.64,0.006,0,1.67,0.122,8.4,6.3,8.5,6.98,,2.17,,
DS Tauwitchere,Laboratory,AWQC,18/02/2020,320218,6059692,22400,15,130,11100,0.42,0.009,0.001,1.49,0.15,8.2,6.4,10.7,12.5,,6.68,,
DS Tauwitchere,Laboratory,AWQC,17/03/2020,320218,6059692,10600,34,120,6230,0.27,0.162,0.024,2.23,0.086,7.6,7.9,17.1,31.4,,12.9,,
DS Tauwitchere,Laboratory,AWQC,15/04/2020,320218,6059692,10700,15,118,5510,0.25,0.008,0.006,1.75,0.049,8.3,21.3,25.5,21,,2.87,,
DS Tauwitchere,Laboratory,AWQC,12/05/2020,320218,6059692,16000,18,116,8620,0.19,0.023,0.022,1.37,0.091,8.1,5.5,11.7,19.5,,4.37,,
DS Tauwitchere,Laboratory,AWQC,11/06/2020,320218,6059692,4860,26,110,2580,0.34,0.167,0.018,1.67,0.13,8,6.8,15.4,21.7,,5.6,,
DS Tauwitchere,Laboratory,AWQC,24/06/2020,320218,6059692,4960,31,108,2520,0.36,0.004,0.021,1.75,0.13,8,7.3,19.2,24.1,,8.69,,
DS Tauwitchere,Laboratory,ALS,7/07/2020,320218,6059692,6750,36.5,111,,0.47,0.04,<0.01,1.8,0.16,8.6,9,9,18,<1,6,2978083,
DS Tauwitchere,Laboratory,ALS,22/07/2020,320218,6059692,4480,40.1,111,2520,0.38,0.02,0.02,2,0.18,8.73,4,4,15,<1,5,882670,
DS Tauwitchere,Laboratory,ALS,5/08/2020,320218,6059692,1320,55.5,108,714,0.46,0.04,0.01,0.6,0.04,8.66,5,5,17,<5,9,505519,23.25
DS Tauwitchere,Laboratory,ALS,26/08/2020,320218,6059692,14100,28.9,115,7290,0.22,0.23,0.05,1.6,0.08,8.56,4,3,14,<1,<6,580165,15.31
DS Tauwitchere,Laboratory,ALS,9/09/2020,320218,6059692,688,46.2,99,320,0.4,0.1,0.04,1.8,0.1,8.87,8,7,23,<1,9,677133,40.48
DS Tauwitchere,Laboratory,ALS,30/09/2020,320218,6059692,900,61.3,85,517,0.3,0.06,0.02,1.7,0.12,9.05,7,9,15,<5,<5,931559,25.82
DS Tauwitchere,Laboratory,ALS,21/10/2020,320218,6059692,4100,18.7,107,1970,0.69,0.08,0.04,1.6,0.14,8.71,7,7,14,<1,<5,362542,28.99
DS Tauwitchere,Laboratory,ALS,17/11/2020,320218,6059692,7390,19.7,101,4170,0.06,0.08,0.08,1.1,0.05,8.73,7,7,2,<1,<1,246736,33.23
DS Tauwitchere,Laboratory,ALS,1/12/2020,320218,6059692,474,69.6,94,193,<0.05,<0.02,0.01,2.5,0.19,9.24,7,6,36,<20,<20,816051,80.82
DS Tauwitchere,Laboratory,ALS,3/02/2021,320218,6059692,10100,20.4,101,6160,<0.05,<0.02,0.02,0.7,0.05,8.36,4,7,10,<4,<4,518759,40.76
DS Tauwitchere,Laboratory,ALS,24/02/2021,320218,6059692,550,11.5,90,264,0.17,0.04,<0.01,2.2,1.31,8.84,7,7,8,<4,<4,653401,44.18
DS Tauwitchere,Laboratory,ALS,17/03/2021,320218,6059692,530,19,89,275,0.17,0.06,0.02,1.4,0.08,9.96,6,6,9,<5,<5,1736747,73.29
DS Tauwitchere,Laboratory,ALS,7/04/2021,320218,6059692,2240,21.2,80,1210,<0.05,0.04,<0.01,1.3,0.1,8.56,8,7,10,<4,<4,2361636,34.39
DS Tauwitchere,Laboratory,ALS,12/05/2021,320218,6059692,6960,23.3,107,3880,0.27,0.03,0.02,1,<0.01,8.09,7,7,3,<2,<2,795771,16.74
DS Tauwitchere,Laboratory,ALS,21/06/2021,320218,6059692,12500,48.3,98,6960,0.56,<0.02,0.04,1.4,0.16,10.06,4,6,22,<5,9,909931,14.54
DS Tauwitchere,Laboratory,ALS,28/06/2021,320218,6059692,11000,41.7,109,6430,0.26,0.07,0.04,1.2,0.08,10.03,4,5,18,<8,<8,1297665,12.74
DS Tauwitchere,Laboratory,ALS,13/07/2021,320218,6059692,7550,39.9,111,4480,0.28,0.05,0.02,1.3,0.08,7.15,6,8,8,<1,2,894021,22.9
DS Tauwitchere,Laboratory,ALS,9/08/2021,320218,6059692,7840,51.5,97,4840,0.8,0.08,0.02,1.1,0.11,6.77,6,7,4,<1,2,597516,11.85
DS Tauwitchere,Laboratory,ALS,24/08/2021,320218,6059692,486,42.9,92,238,0.17,0.1,0.03,1.3,0.1,8.36,6,8,19,<12,<12,1219891,19.67
DS Tauwitchere,Laboratory,ALS,8/09/2021,320218,6059692,1620,53.6,75,911,0.25,0.06,0.02,2.1,0.17,8.41,7,7,,,,896507,21.2
DS Tauwitchere,Laboratory,ALS,22/09/2021,320218,6059692,699,37.4,80,343,0.07,0.03,<0.01,1,0.1,8.14,6,6,8,<1,3,1954292,32.34
DS Tauwitchere,Laboratory,ALS,26/10/2021,320218,6059692,1080,90,70,388,0.33,0.38,0.02,1.4,0.11,8,12,10,13,<6,<6,799556,21.61
DS Tauwitchere,Laboratory,ALS,16/11/2021,320218,6059692,898,70,61,127,0.46,0.22,0.13,1.4,0.09,8.32,10,7,11,<5,5,494748,14.61
DS Tauwitchere,Laboratory,ALS,14/12/2021,320218,6059692,790,90.3,61,83,0.55,0.09,0.04,0.4,0.03,8.03,14,15,17,<8,<8,422372,19.46
DS Tauwitchere,Laboratory,ALS,20/01/2022,320218,6059692,312,94.9,63,92,0.24,0.26,0.03,1.6,0.12,8.19,10,8,6,<1,6,416754,13.73
DS Tauwitchere,Laboratory,ALS,22/02/2022,320218,6059692,376,51.8,77,53,0.71,0.1,0.22,1.6,0.15,7.15,,8,7,<2,4,55530,4.02
DS Tauwitchere,Laboratory,ALS,16/03/2022,320218,6059692,298,76.3,84,126,0.42,0.09,0.07,1.8,0.12,7.23,11,8,53,<9,21,386485,12.35
DS Tauwitchere,Laboratory,ALS,20/04/2022,320218,6059692,268,73.8,108,52,2.8,0.05,0.08,1.3,0.08,7.16,11,8,13,<4,7,139742,7.25
DS Tauwitchere,Laboratory,ALS,19/05/2022,320218,6059692,3430,32.5,108,1560,1.04,0.11,0.04,0.6,0.05,7.9,12,10,12,<3,7,229416,12.53
DS Tauwitchere,Laboratory,ALS,2/06/2022,320218,6059692,,,,,,,,,,6.66,,,,,,1934,0.19
DS Tauwitchere,Laboratory,ALS,20/07/2022,320218,6059692,464,94.5,85,201,4.78,0.16,0.04,1.4,0.15,,13,15,27,<4,10,63398,7.4
DS Tauwitchere,Laboratory,ALS,31/08/2022,320218,6059692,951,255,68,432,2.92,<0.02,0.06,0.6,0.11,,11,9,18,<6,15,26246,6.05
DS Tauwitchere,Laboratory,ALS,28/09/2022,320218,6059692,372,101,61,108,0.27,0.05,0.03,1.5,0.14,,8,10,,,,23337,28.32
DS Tauwitchere,Laboratory,AWQC,9/11/2022,320218,6059692,206,110,66,69,2.23,0.004,0.04,1.67,0.256,7.6,7.5,8,13.7,,10.2,19900,
DS Tauwitchere,Laboratory,AWQC,24/11/2022,320218,6059692,2240,50,71,1100,4.1,0.06,0.049,1.17,0.144,8,9.9,12.5,11.2,,8.28,18000,
DS Tauwitchere,Laboratory,AWQC,20/12/2022,320218,6059692,207,93,82,61,2.62,0.069,0.014,2.55,0.342,8,12.8,22.6,31.1,,16.8,191000,
DS Tauwitchere,Laboratory,AWQC,20/01/2023,320218,6059692,186,34,98,65,0.2,0.007,0.01,2.04,0.246,7.9,17,20.5,44.2,,20.8,12500,
DS Tauwitchere,Laboratory,AWQC,15/02/2023,320218,6059692,183,62,105,35,0.38,0.038,0.004,2.48,0.317,8,14.2,21.8,49.5,,27.9,134000,
DS Tauwitchere,Laboratory,AWQC,16/03/2023,320218,6059692,644,23,117,246,0.66,0.006,0.02,1.42,0.119,8.9,12.3,17.5,37.8,,13.1,466000,
DS Tauwitchere,Laboratory,AWQC,13/04/2023,320218,6059692,2570,24,147,1240,<0.05,0.003,<0.0005,2.02,0.175,8.8,13.5,17.1,76.9,,24.9,370000,
DS Tauwitchere,Laboratory,AWQC,19/05/2023,320218,6059692,413,11,152,124,0.09,0.039,0.012,4.25,0.145,8.6,13,16.3,39,,15.3,245000,
DS Tauwitchere,Laboratory,AWQC,27/06/2023,320218,6059692,2320,21,143,1130,0.16,0.011,0.009,1.65,0.06,8.2,11.6,15.4,39.8,,14.3,321000,
DS Tauwitchere,Laboratory,AWQC,26/07/2023,320218,6059692,2850,35,138,1420,0.47,0.003,0.003,0.23,0.055,8.3,10.9,15,36,,15.9,573000,
DS Tauwitchere,Laboratory,AWQC,16/08/2023,320218,6059692,253,24,101,80,0.1,0.026,0.031,1.25,0.067,8.2,8.6,10.1,36.7,,17,293000,
DS Tauwitchere,Laboratory,AWQC,27/09/2023,320218,6059692,935,47,60,442,0.21,0.089,0.016,2.33,0.276,7.9,8.1,11.2,22.9,,11.5,769000,
DS Tauwitchere,Laboratory,AWQC,20/03/2024,320218,6059692,13800,23,96,7810,0.82,10,20.5,2.32,0.174,8,6,10.9,37.2,,11.2,207000,
DS Tauwitchere,Laboratory,AWQC,8/05/2024,320218,6059692,3250,11,88,1730,0.35,265,5.8,1.88,0.238,8.3,9.7,12.5,19.1,,14.6,380000,
Long Point,Laboratory,AWQC,22/01/2020,333682,6048236,36600,4.3,172,18200,1.9,0.016,0.035,1.91,0.071,8,12.6,13.9,6.46,,1.5,,
Long Point,Laboratory,AWQC,18/02/2020,333682,6048236,39600,2.5,159,18800,0.91,0.059,0.035,1.44,0.063,8.5,10.6,11.1,3.45,,0.98,,
Long Point,Laboratory,AWQC,17/03/2020,333682,6048236,52300,5.6,170,29800,0.77,0.022,0.012,2.76,0.075,8.1,13,13.7,5.24,,1.7,,
Long Point,Laboratory,AWQC,15/04/2020,333682,6048236,35800,1.8,135,16300,0.36,0.009,0.008,0.6,0.019,8.3,3.5,3.9,3.26,,1.47,,
Long Point,Laboratory,AWQC,12/05/2020,333682,6048236,25800,2.7,127,11600,0.29,0.021,0.062,0.61,0.132,8.2,4.2,5,2.39,,1.32,,
Long Point,Laboratory,AWQC,11/06/2020,333682,6048236,36800,2.7,148,18700,0.92,0.377,0.017,1.22,0.075,7.7,7.2,7.8,3.84,,2.28,,
Long Point,Laboratory,AWQC,24/06/2020,333682,6048236,30700,4.7,134,16900,1.26,0.032,0.102,1.01,0.055,8,6.9,7.8,2.36,,1.92,,
Long Point,Laboratory,ALS,7/07/2020,333682,6048236,39000,3,148,,0.35,0.19,0.04,1.2,0.1,8.27,11,10,4,<1,1,4380,
Long Point,Laboratory,ALS,22/07/2020,333682,6048236,25500,7,137,12700,0.58,0.02,0.04,1.2,0.06,8.5,5,4,9,1,3,14734,
Long Point,Laboratory,ALS,5/08/2020,333682,6048236,30100,3.6,148,18100,0.81,0.18,<0.01,1.4,0.07,8.74,7,8,3,<1,2,13351,1.63
Long Point,Laboratory,ALS,26/08/2020,333682,6048236,24600,3.1,145,13700,<0.05,0.04,0.02,0.9,0.03,8.4,4,4,5,<1,1,40887,3.99
Long Point,Laboratory,ALS,9/09/2020,333682,6048236,18700,5.8,119,10900,<0.05,0.05,0.03,1,0.03,8.41,7,8,5,<1,1,30274,2.45
Long Point,Laboratory,ALS,30/09/2020,333682,6048236,27700,19.5,137,15900,<0.05,0.04,0.03,1.8,0.08,8.63,,10,1,<1,1,18795,1.16
Long Point,Laboratory,ALS,21/10/2020,333682,6048236,44200,5.6,175,21800,0.88,0.02,<0.01,2.1,0.11,8.6,14,15,4,<1,<1,33313,1.54
Long Point,Laboratory,ALS,17/11/2020,333682,6048236,25000,5.9,131,12000,<0.05,0.02,0.01,<0.1,0.02,8.75,7,8,<1,<1,<1,6280,0.49
Long Point,Laboratory,ALS,1/12/2020,333682,6048236,26300,25.2,136,13800,0.89,<0.02,<0.01,<0.1,0.12,8.38,8,8,<3,<3,5,1650,0.33
Long Point,Laboratory,ALS,3/02/2021,333682,6048236,34800,4.8,148,19900,0.23,<0.02,0.01,<10.0,1.54,8.3,9,16,3,2,2,1908,0.59
Long Point,Laboratory,ALS,24/02/2021,333682,6048236,30400,3.4,130,19000,2.6,0.02,<0.01,<0.1,<0.01,7.75,6,5,3,<1,<1,8376,
Long Point,Laboratory,ALS,17/03/2021,333682,6048236,25800,4.1,120,12900,2.33,0.05,<0.01,1,0.13,7.89,6,6,4,<1,3,5923,1.28
Long Point,Laboratory,ALS,7/04/2021,333682,6048236,23800,8.9,112,12000,3.21,0.05,0.01,<0.1,0.04,7.98,4,8,1,<1,<1,7141,0.8
Long Point,Laboratory,ALS,12/05/2021,333682,6048236,23800,4.2,136,13400,1.92,0.02,0.02,0.7,0.1,8.02,5,5,1,<1,2,314,0.03
Long Point,Laboratory,ALS,21/06/2021,333682,6048236,28700,2.4,122,15400,0.87,<0.02,0.03,0.2,0.39,10.66,5,4,2,<1,<1,1152,0.3
Long Point,Laboratory,ALS,28/06/2021,333682,6048236,26600,9.1,132,15200,0.84,0.09,0.03,0.6,0.09,7.93,6,6,4,<1,<1,904,0.19
Long Point,Laboratory,ALS,13/07/2021,333682,6048236,21900,6.4,131,12600,0.52,0.03,<0.01,<0.1,<0.01,7.37,6,5,10,<1,4,3157,0.4
Long Point,Laboratory,ALS,9/08/2021,333682,6048236,29700,2.9,128,17700,0.81,0.05,<0.01,<1.0,0.26,6.55,8,8,5,<1,2,1538,0.26
Long Point,Laboratory,ALS,24/08/2021,333682,6048236,28200,11.4,133,14400,1.08,0.06,<0.01,0.1,0.02,7.72,10,11,11,2,4,12593,2.95
Long Point,Laboratory,ALS,8/09/2021,333682,6048236,24300,4.6,121,12900,0.21,0.09,<0.01,0.7,0.24,6.4,10,10,,,,1058,0.23
Long Point,Laboratory,ALS,22/09/2021,333682,6048236,18900,8.4,121,9870,0.36,0.08,0.05,1.2,0.18,7.05,8,9,<1,<1,<1,2626,2.04
Long Point,Laboratory,ALS,26/10/2021,333682,6048236,41900,4.1,140,19600,0.49,0.29,<0.01,0.4,0.1,7.91,13,14,1,<1,<1,1377,0.08
Long Point,Laboratory,ALS,16/11/2021,333682,6048236,18900,3.7,101,9810,0.6,0.08,0.05,0.8,0.04,7.11,11,11,4,<1,<1,5500,0.88
Long Point,Laboratory,ALS,14/12/2021,333682,6048236,40700,4.8,119,19800,1.95,<0.02,<0.01,0.3,0.33,6.95,17,17,2,<1,3,998,0.12
Long Point,Laboratory,ALS,20/01/2022,333682,6048236,17700,7.2,96,8610,1.29,0.28,<0.01,0.9,0.04,8.11,12,12,<1,<1,<1,1116,0.06
Long Point,Laboratory,AWQC,21/01/2022,333682,6048236,,,,,,<0.005,0.004,1.55,,,,,3.43,,1.63,,
Long Point,Laboratory,ALS,22/02/2022,333682,6048236,7780,8.3,102,4100,3.42,0.55,0.02,2.2,0.11,8.48,12,13,2,<1,<1,1656,0.12
Long Point,Laboratory,AWQC,23/02/2022,333682,6048236,,,,,,0.354,0.012,<0.06,<0.005,,,,3.84,,1.63,,
Long Point,Laboratory,ALS,16/03/2022,333682,6048236,12800,7,115,5920,3.2,0.1,<0.01,0.8,0.09,8.13,12,12,11,<1,1,4826,0.41
Long Point,Laboratory,ALS,20/04/2022,333682,6048236,3350,34.2,108,1590,2.47,0.03,0.01,0.8,0.04,8.4,9,10,15,<1,5,13916,2.06
Long Point,Laboratory,ALS,19/05/2022,333682,6048236,829,34.3,111,359,2.79,0.13,0.18,0.7,0.04,8.14,12,10,13,<2,7,8564,1.86
Long Point,Laboratory,ALS,2/06/2022,333682,6048236,,,,,,,,,,8.24,,,,,,8123,0.58
Long Point,Laboratory,ALS,20/07/2022,333682,6048236,21200,11.7,121,10500,4.02,0.14,0.08,1.7,0.23,,16,16,4,<1,3,733,0.04
Long Point,Laboratory,ALS,31/08/2022,333682,6048236,12500,28.1,102,6460,3.25,<0.02,<0.01,1.8,0.29,,11,11,16,<2,4,5947,0.92
Long Point,Laboratory,ALS,28/09/2022,333682,6048236,19700,20.2,115,11000,2.5,<0.02,0.01,2.7,<0.1,,12,12,,,,2503,0.42
Long Point,Laboratory,AWQC,9/11/2022,333682,6048236,7680,2,92,4030,3.17,0.041,0.003,<0.05,0.007,8.2,8.2,8.8,8.15,,2.76,12400,
Long Point,Laboratory,AWQC,24/11/2022,333682,6048236,2660,32,84,1430,3.26,0.034,0.002,1.15,0.102,8.6,10.4,13.8,37.5,,8.71,39700,
Long Point,Laboratory,AWQC,20/12/2022,333682,6048236,12000,8.4,108,6500,3.44,0.099,0.004,1.72,0.063,8.1,11.1,12.5,13.6,,3.37,260,
Long Point,Laboratory,AWQC,20/01/2023,333682,6048236,2040,36,116,973,5.09,0.015,0.237,1.32,0.187,8.1,15.7,18.3,7.76,,2.98,290,
Long Point,Laboratory,AWQC,15/02/2023,333682,6048236,2190,53,123,1080,0.14,0.031,0.008,2.62,0.208,8.9,15.5,22.9,103,,22.5,164000,
Long Point,Laboratory,AWQC,16/03/2023,333682,6048236,16100,3.1,153,9190,1.24,0.06,0.006,1.39,0.042,8.6,15.3,16.6,11.8,,9.9,20100,
Long Point,Laboratory,AWQC,13/04/2023,333682,6048236,15800,56,156,7750,0.2,0.013,<0.0005,2.48,0.236,8.2,14.9,21.9,32.6,,33.7,16900,
Long Point,Laboratory,AWQC,19/05/2023,333682,6048236,21000,1.7,148,10000,1.13,0.031,0.009,2.24,<0.005,8,13.6,14.2,4.61,,1.34,9390,
Long Point,Laboratory,AWQC,28/06/2023,333682,6048236,10800,4.2,137,6190,0.05,0.052,0.006,1.24,0.141,7.9,9.4,11,40,,10.3,12900,
Long Point,Laboratory,AWQC,27/07/2023,333682,6048236,25200,4,151,13000,0.76,0.013,0.008,1.86,0.111,7.7,13.2,13.7,8.03,,8.05,3270,
Long Point,Laboratory,AWQC,16/08/2023,333682,6048236,30300,2.4,155,15600,1.49,36,<0.0005,1.73,0.011,8.1,16,15.9,6.98,,3.38,,
Long Point,Laboratory,AWQC,28/09/2023,333682,6048236,32200,7,138,16500,1.8,51,0.004,2.21,0.058,8,15.6,15.9,2.33,,2.73,220,
Long Point,Laboratory,AWQC,20/03/2024,333682,6048236,12400,10,113,6980,3.8,0.282,14.9,1.95,0.135,7.9,9.3,11.2,7.61,,5.58,560,
Long Point,Laboratory,AWQC,8/05/2024,333682,6048236,19500,2.3,121,10800,3.06,132,1.6,2.01,0.112,8.1,7.3,8,1.6,,0.77,1320,
Mark Point,Laboratory,ALS,7/07/2020,325762,6054914,31700,2.6,139,,0.7,0.09,0.02,1,0.1,8.33,9,9,12,2,3,15942,
Mark Point,Laboratory,ALS,22/07/2020,325762,6054914,18400,12.5,130,10000,0.49,0.04,0.03,1.4,0.05,8.51,4,4,3,<1,1,91223,
Mark Point,Laboratory,ALS,5/08/2020,325762,6054914,21600,6.4,138,13200,0.96,0.05,<0.01,1.2,0.04,8.36,7,7,10,3,5,75016,2.5
Mark Point,Laboratory,ALS,26/08/2020,325762,6054914,20200,3.6,140,13400,0.56,0.42,0.05,1,0.02,8.43,3,3,4,<1,1,,
Mark Point,Laboratory,ALS,9/09/2020,325762,6054914,12600,7.8,114,7470,<0.10,0.05,<0.01,1.1,0.04,8.76,7,8,24,<1,5,56287,7.17
Mark Point,Laboratory,ALS,30/09/2020,325762,6054914,19000,9.4,103,11500,<0.05,0.04,0.02,1.1,<0.01,9.44,7,7,1,<1,<1,9790,1.07
Mark Point,Laboratory,ALS,21/10/2020,325762,6054914,30800,2.8,153,15100,1.93,0.03,<0.01,2.2,0.1,8.56,12,12,3,<1,<1,85358,3.73
Mark Point,Laboratory,ALS,17/11/2020,325762,6054914,12100,4.5,116,8090,0.31,0.04,0.03,0.7,<0.01,8.32,5,5,<1,<1,<1,26333,6.34
Mark Point,Laboratory,ALS,1/12/2020,325762,6054914,18600,6.2,127,9720,0.22,<0.02,<0.01,0.3,0.11,8.61,7,8,15,<1,5,19515,3.61
Mark Point,Laboratory,ALS,3/02/2021,325762,6054914,35500,7.8,132,16900,2.84,<0.02,<0.01,<10.0,1.53,8.1,5,5,2,<1,<1,1910,0.27
Mark Point,Laboratory,ALS,24/02/2021,325762,6054914,17000,3.1,117,10600,0.49,0.03,0.01,0.2,0.11,8.23,5,6,6,<1,4,8958,0.57
Mark Point,Laboratory,ALS,17/03/2021,325762,6054914,16000,7.2,116,9600,1.01,0.05,<0.01,1.1,0.08,8.28,6,6,2,2,3,6501,0.38
Mark Point,Laboratory,ALS,7/04/2021,325762,6054914,20200,8.4,110,10500,1.21,0.02,<0.01,0.8,0.06,8.36,9,9,5,<1,1,15323,3.18
Mark Point,Laboratory,ALS,12/05/2021,325762,6054914,26000,2.6,135,14200,1.65,0.03,0.01,0.6,0.1,8.02,4,4,<1,<1,<1,1229,0.19
Mark Point,Laboratory,ALS,21/06/2021,325762,6054914,27200,3.1,117,15000,2.18,<0.02,0.01,0.4,0.13,7.16,3,3,8,<1,<1,1900,2.18
Mark Point,Laboratory,ALS,28/06/2021,325762,6054914,26300,2.9,126,15300,1.52,0.06,<0.01,0.5,0.14,9.71,2,3,10,<1,3,1516,0.62
Mark Point,Laboratory,ALS,13/07/2021,325762,6054914,18700,6.2,128,10500,0.87,0.04,<0.01,<0.1,0.18,7.16,5,7,4,<1,<1,24398,1.5
Mark Point,Laboratory,ALS,9/08/2021,325762,6054914,22600,5.2,82,12500,1.8,0.06,<0.01,<1.0,0.24,7.33,6,7,8,<1,2,17407,4.03
Mark Point,Laboratory,ALS,24/08/2021,325762,6054914,14000,14.9,113,8250,0.85,0.07,0.02,0.1,0.15,7.7,8,10,7,<3,3,91441,9.36
Mark Point,Laboratory,ALS,8/09/2021,325762,6054914,20300,8.1,109,10900,0.6,0.06,0.01,0.9,0.15,8.2,9,10,,,,21576,2.38
Mark Point,Laboratory,ALS,22/09/2021,325762,6054914,20900,5,114,11300,1.12,0.11,0.05,1.4,0.21,8.39,7,7,2,<1,3,11405,2.2
Mark Point,Laboratory,ALS,26/10/2021,325762,6054914,24100,4,117,10700,1.66,0.16,<0.01,0.4,0.05,7.5,10,10,8,<1,1,2856,0.45
Mark Point,Laboratory,ALS,16/11/2021,325762,6054914,8430,5.5,77,4480,0.85,0.09,0.08,0.2,<0.01,8.08,9,7,8,<1,<1,26835,3.73
Mark Point,Laboratory,ALS,14/12/2021,325762,6054914,10400,18,76,5270,1.15,0.17,0.03,0.6,0.11,8.14,11,10,12,<2,6,11340,2.11
Mark Point,Laboratory,ALS,20/01/2022,325762,6054914,3330,29.1,73,1570,0.54,0.32,0.04,1.1,0.06,10.02,10,9,4,<1,5,74238,8.9
Mark Point,Laboratory,ALS,22/02/2022,325762,6054914,1290,24.2,85,653,1.4,0.06,0.02,1,0.05,8.67,9,8,21,<2,7,26713,2.96
Mark Point,Laboratory,ALS,16/03/2022,325762,6054914,2630,10.7,96,1070,1.35,<0.02,0.01,0.8,0.04,7.8,9,8,24,<2,4,17755,2.53
Mark Point,Laboratory,ALS,20/04/2022,325762,6054914,822,36.4,116,396,2.87,0.12,0.02,0.8,0.03,8.15,11,9,7,<1,5,11390,2.34
Mark Point,Laboratory,ALS,19/05/2022,325762,6054914,2270,28.3,106,1100,1.61,0.12,0.09,0.8,0.05,11.72,11,9,12,<2,2,16131,2.23
Mark Point,Laboratory,ALS,2/06/2022,325762,6054914,,,,,,,,,,6.85,,,,,,7552,0.94
Mark Point,Laboratory,ALS,20/07/2022,325762,6054914,11400,6.1,109,5960,5.01,0.41,0.13,2.3,0.16,,13,12,,,,1499,0.56
Mark Point,Laboratory,ALS,31/08/2022,325762,6054914,7760,45.9,88,4180,4.12,0.06,0.07,2.5,0.08,,12,10,9,<3,8,6636,0.7
Mark Point,Laboratory,ALS,28/09/2022,325762,6054914,15000,6.2,99,8430,2.42,<0.02,<0.01,<1,<0.1,,8,9,4,<1,1,981,0.15
Mark Point,Laboratory,AWQC,9/11/2022,325762,6054914,2290,6.8,78,1120,3.13,0.048,0.032,<0.08,<0.005,8.6,8.1,8.8,3.18,,4.57,9520,
Mark Point,Laboratory,AWQC,24/11/2022,325762,6054914,4150,15,79,2190,4.36,0.022,0.115,0.99,0.082,7.9,9.2,11.4,19,,4.36,5770,
