Sampling_point,Date,Easting,Northing,Distance_Murray_Mouth,AMPA_ug_L,Acidity_as_Calcium_Carbonate_mg_L,Aldrin_ug_L,Algae_Total_cells_mL,Alkalinity_as_Calcium_Carbonate_mg_L,Aluminium_Soluble_mg_L,Aluminium_Total_mg_L,Ammonia_as_N_mg_L,Antimony_Total_mg_L,Arsenic_Inorganic_mg_L,Atrazine_ug_L,Azinphos_methyl_ug_L,Bicarbonate_mg_L,Blue_Green_Algae_Total_cells_mL,Cadmium_Total_mg_L,Calcium_mg_L,Calcium_Hardness_as_CaCO3_mg_L,Carbon_Dioxide_Free_mg_L,Carbonate_mg_L,Carbonate_hardness_as_CaCO3_mg_L,Cells_ml_cells_mL,Chlordane_a_ug_L,Chlordane_g_ug_L,Chloride_mg_L,Chlorides_Total_as_NaCl_mg_L,Chlorophyll_a_ug_L,Chlorophyll_b_ug_L,Chlorothalonil_ug_L,Chlorpyrifos_ug_L,Chlorthal_Dimethyl_ug_L,Chromium_Total_mg_L,Conductivity_uS_cm,Copper_Total_mg_L,DDD_ug_L,DDE_ug_L,DDT_ug_L,Diazinon_ug_L,Dieldrin_ug_L,Dissolved_Organic_Carbon_mg_L,Dissolved_Oxygen_mg_L,Dissolved_solids_by_calculation_mg_L,Endosulfan_ug_L,Endosulfan_1_ug_L,Endosulfan_2_ug_L,Endosulfan_Sulphate_ug_L,Endrin_ug_L,Fenitrothion_ug_L,Fixed_Solids_mg_L,Geosmin_MIB_producing_BGA_Total_cells_mL,Glyphosate_ug_L,Heptachlor_ug_L,Heptachlor_Epoxide_ug_L,Hexazinone_ug_L,Ion_balance_percent,Iron_Soluble_mg_L,Iron_Total_mg_L,Langelier_Index,Lead_Total_mg_L,Lindane_ug_L,Magnesium_mg_L,Magnesium_Hardness_as_CaCO3_mg_L,Malathion_ug_L,Mercury_Total_mg_L,Methoxychlor_ug_L,Nickel_Total_mg_L,Nitrate_Nitrite_as_N_mg_L,Nitrate_as_Nitrogen_mg_L,Nitrite_as_Nitrogen_mg_L,Nitrogen_Total_mg_L,Noncarbonate_hardness_as_CaCO3_mg_L,Parathion_ug_L,Parathion_methyl_ug_L,Phaeophytin_a_ug_L,Phosphorus_Filterable_Reactive_as_P_mg_L,Phosphorus_Total_mg_L,Potassium_mg_L,Prometryne_ug_L,Selenium_Total_mg_L,Silica_Reactive_mg_L,Silver_Total_mg_L,Simazine_ug_L,Sodium_mg_L,Sodium_Adsorption_Ratio_Calculation,Sodium_Total_cations_ratio_percent,Sulphate_mg_L,Suspended_Solids_mg_L,TKN_as_Nitrogen_mg_L,Temperature_at_which_pH_is_measured_celsius,Total_Dissolved_Solids_by_EC_mg_L,Total_Dissolved_Solids_by_evaporation_mg_L,Total_Hardness_as_CaCO3_mg_L,Total_Organic_Carbon_mg_L,Trifluralin_ug_L,Turbidity_NTU,Vinclozolin_ug_L,Volatile_Suspended_Solids_mg_L,Zinc_Soluble_mg_L,Zinc_Total_mg_L,pH_pH_units,Total_Nitrogen
South Salt Creek,24/11/2003 15:16,377463,6000594,100.44,,,,,231,,0.116,0.017,0.002,0.003,,,282,,0.007,1030,,,,,,,,52600,,53,13,,,,0.01,112000,,,,,,,,,97500,,,,,,,,,,,,,1.78,,0.158,,0.005,,3920,,,0.0003,,0.041,0.005,,,,,,,,0.019,0.256,1150,,0.001,2.8,0.002,,30300,,,8390,,5.57,,87000,,,,,9.2,,,,0.03,8.1,5.575
South Salt Creek,9/12/2003 0:01,377463,6000594,100.44,,,,,237,0.092,,0.01,,,,,289,,0.013,1000,,,,,,,,56400,,88,21,,,,0.01,113000,0.01,,,,,,,,,,,,,,,,,,,,,3.33,0.038,,,0.005,,3800,,,0.0003,,,0.005,,,,,,,,0.025,0.338,1130,,0.002,3.5,,,34400,,,8170,,6.29,,87000,,,,,12,,,0.03,,8.1,6.295
South Salt Creek,20/01/2004 13:23,377463,6000594,100.44,,,,,232,,0.079,0.012,0.002,0.011,,,283,,0.006,1080,,,,,,,,66400,,110,21,,,,0.01,126000,,,,,,,,,,,,,,,,,,,,,,-6.26,,0.077,,0.005,,4120,,,0.0003,,0.049,0.005,,,,,,,,0.013,0.36,1230,,0.002,6.7,0.002,,32100,,,8790,,6.62,,100000,,,,,13,,,,0.03,7.9,6.625
South Salt Creek,24/02/2004 15:23,377463,6000594,100.44,,,,,194,,0.095,0.18,0.002,0.003,,,237,,0.005,1950,,,,,,,,75700,,47,6.6,,,,0.01,154000,,,,,,,,,,,,,,,,,,,,,,4.8,,0.228,,0.005,,6150,,,0.0003,,0.016,0.005,,,,,,,,0.025,0.267,2440,,0.001,11,0.002,,47700,,,16800,,5.05,,130000,,,,,15,,,,0.03,7.5,5.055
South Salt Creek,25/03/2004 10:30,377463,6000594,100.44,,,,,249,0.145,,0.247,,,,,304,,0.005,1140,,,,,,,,80900,,61,11,,,,0.01,161000,0.01,,,,,,,,144000,,,,,,,,,,,,,-0.88,0.02,,,0.005,,5520,,,0.0003,,,0.011,,,,,,,,0.023,0.338,1550,,,10,0.002,,44100,,,10700,,8.15,,140000,,,,,13,,,0.03,,7.8,8.161
South Salt Creek,21/04/2004 13:20,377463,6000594,100.44,,,,,237,,0.188,0.024,0.002,0.005,,,289,,0.005,1700,,,,,,,,74100,,89,13,,,,0.01,154000,,,,,,,,,,,,,,,,,,,,,,3.12,,0.138,,0.005,,5600,,,0.0003,,0.005,0.005,,,,,,,,0.02,0.281,2090,,0.001,8.6,0.002,,44800,,,14400,,7.67,,130000,,,,,12,,,,0.03,7.9,7.675
South Salt Creek,26/05/2004 14:25,377463,6000594,100.44,,,,,214,,0.062,0.029,0.005,0.011,,,261,,0.005,1450,,,,,,,,74500,,65,6.6,,,,0.01,115000,,,,,,,,,,,,,,,,,,,,,,-3.55,,0.12,,0.005,,4890,,,0.0003,,0.005,0.005,,,,,,,,0.005,0.325,1680,,0.002,5.2,0.002,,38600,,,12000,,7.98,,89000,,,,,11,,,,0.03,7.9,7.985
South Salt Creek,21/06/2004 13:00,377463,6000594,100.44,,,,,201,0.073,0.08,0.012,,,,,245,,0.005,1160,,,,,,,,66000,,70,7.2,,,,0.01,134000,0.03,,,,,,,,118000,,,,,,,,,,,,,-1.48,0.02,0.096,,0.005,,4410,,,0.0003,,,0.005,,,,,,,,0.005,0.314,1300,,,5,0.002,,35600,,,9430,,13.1,,110000,,,,,7.1,,,0.03,0.03,8,13.105
South Salt Creek,28/07/2004 12:15,377463,6000594,100.44,,,,,,,0.071,0.011,0.002,0.008,,,,,0.005,1020,,,,,,,,,,55,8.4,,,,0.01,122000,,,,,,,,,,,,,,,,,,,,,,,,0.092,,0.005,,3870,,,0.0003,,0.028,0.005,,,,,,,,0.005,0.247,,,0.001,3.6,0.002,,,,,,,4.76,,96000,,,,,7.3,,,,0.05,8.1,4.765
South Salt Creek,25/08/2004 13:36,377463,6000594,100.44,,,,,,,0.128,0.013,0.1,0.004,,,,,0.005,969,,,,,,,,,,34,4.2,,,,0.01,118000,,,,,,,,,,,,,,,,,,,,,,,,0.095,,0.005,,3660,,,0.0003,,0.016,0.005,,,,,,,,0.005,0.205,,,0.001,3,0.002,,,,,,,4.91,,92000,,,,,5.6,,,,0.03,8.1,4.915
South Salt Creek,14/09/2004 10:30,377463,6000594,100.44,,,,,207,0.05,0.05,0.037,,,,,252,,0.005,1030,,,,,,,,54100,,,,,,,0.01,112000,0.01,,,,,,,,97200,,,,,,,,,,,,,-1.38,0.025,0.099,,0.005,,3850,,,0.0003,,,0.005,,,,,,,,0.005,0.313,1070,,,0.27,0.002,,28900,,,8100,,5.86,,86000,,,,,5.8,,,0.03,0.03,8,5.865
South Salt Creek,27/10/2004 13:45,377463,6000594,100.44,,,,,,,0.05,0.012,0.002,0.009,,,,,0.011,1060,,,,,,,,,,68,16,,,,0.01,122000,,,,,,,,,,,,,,,,,,,,,,,,0.196,,0.005,,3930,,,0.0003,,0.005,0.005,,,,,,,,0.016,0.404,,,0.001,4.4,0.002,,,,,,,9.11,,96000,,,,,12,,,,0.03,8.2,9.115
South Salt Creek,29/11/2004 13:00,377463,6000594,100.44,,,,,,,0.05,0.084,0.002,0.009,,,,,0.008,993,,,,,,,,,,76,21,,,,0.01,119000,,,,,,,,,,,,,,,,,,,,,,,,0.152,,0.005,,3730,,,0.0003,,0.005,0.005,,,,,,,,0.005,0.39,,,0.002,7.9,0.002,,,,,,,6.74,,93000,,,,,11,,,,0.03,8.3,6.745
South Salt Creek,8/12/2004 16:20,377463,6000594,100.44,,,,,215,0.05,0.074,0.009,0.002,,,,262,,0.034,1430,,,,,,,,67500,,78,20,,,,0.01,132000,0.02,,,,,,,,122000,,,,,,,,,,,,,-3.81,0.08,0.371,,0.005,,4420,,,0.0003,,,0.005,,,,,,,,0.005,0.511,1620,,,9.6,0.002,,34900,,,11800,,5.48,,110000,,,,,32,,,0.03,0.15,8,5.485
South Salt Creek,13/01/2005 14:10,377463,6000594,100.44,,,,,,,0.05,0.01,0.002,0.009,,,,,0.002,1140,,,,,,,,,,140,49,,,,0.01,130000,,,,,,,,,,,,,,,,,,,,,,,,0.293,,0.005,,4370,,,0.0003,,0.02,0.005,,,,,,,,0.02,0.043,,,0.001,6.6,0.002,,,,,,,5.26,,100000,,,,,16,,,,0.03,8.1,5.265
South Salt Creek,7/03/2005 16:00,377463,6000594,100.44,,,,,219,0.05,0.05,0.006,,,,,267,,0.005,1400,,,,,,,,86700,,95,22,,,,0.01,163000,0.03,,,,,,,,153000,,,,,,,,,,,,,-2.99,0.049,0.332,,0.005,,5500,,,0.0003,,,0.005,,,,,,,,0.021,0.326,1710,,,9.4,0.002,,45300,,,11800,,7.85,,140000,,,,,14,,,0.03,0.03,7.7,7.855
South Salt Creek,6/07/2005 14:30,377463,6000594,100.44,,,,,,0.1,0.63,0.96,,,,,,,0.005,,,,,,,,,,,,,,,,,131000,0.07,,,,,,,,,,,,,,,,,,,,,,0.05,0.847,,,,,,,,,,0.022,,,,,,,,0.026,0.39,,,,4.7,0.002,,,,,8340,,11.2,,110000,,,,,,,,0.03,0.03,7.7,11.222
South Salt Creek,6/09/2005 9:00,377463,6000594,100.44,,,,,,0.05,0.13,2.27,,,,,,,0.005,,,,,,,,,,,,,,,,,130000,0.05,,,,,,,,,,,,,,,,,,,,,,0.052,0.25,,,,,,,,,,0.007,,,,,,,,0.045,0.235,,,,,0.002,,,,,,,11.1,,100000,,,,,,,,0.025,0.025,8,11.107
South Salt Creek,6/02/2006 0:00,377463,6000594,100.44,,,,,,0.01,0.01,0.445,,,,,,,0.005,,,,,,,,,,,,,,,,,70800,0.01,,,,,,,,,,,,,,,,,,,,,,0.009,0.024,,,,,,,,,,0.005,,,,,,,,0.006,0.108,,,,,0.002,,,,,,,4.1,,49100,,,,,,,,0.03,0.03,8.8,4.105
South Salt Creek,31/05/2006 13:30,377463,6000594,100.44,,,,,,0.01,0.292,0.026,,,,,,,0.005,,,,,,,,,,,,,,,,,143000,0.014,,,,,,,,,,,,,,,,,,,,,,0.027,0.097,,,,,,,,,,0.005,,,,,,,,0.005,0.448,,,,,0.002,,,,,,,7.76,,117000,,,,,,,,0.049,0.049,8.1,7.765
South Salt Creek,28/08/2006 8:50,377463,6000594,100.44,,,,,,0.01,1.109,0.103,,,,,,,0.005,,,,,,,,,,,98.6,13.3,,,,,138000,0.01,,,,,,,,,,,,,,,,,,,,,,0.012,0.236,,,,,,,,,,0.005,,,,,,,,0.01,0.435,,,,,0.002,,,,,,,6.01,,112000,,,,,12,,,0.03,0.03,8.1,6.015
South Salt Creek,14/11/2006 14:00,377463,6000594,100.44,,,,,,0.01,0.137,0.575,,,,,,,0.005,,,,,,,,,,,78,12.4,,,,,152000,0.0065,,,,,,,,,,,,,,,,,,,,,,0.03,0.419,,,,,,,,,,0.005,,,,,,,,0.016,0.588,,,,,0.002,,,,,,,11.2,,130000,,,,,41,,,0.01,0.01,8.1,11.205
South Salt Creek,23/01/2007 0:00,377463,6000594,100.44,,,,,,0.01,0.021,0.005,,,,,,,0.005,,,,,,,,,,,39.3,6.84,,,,,168000,0.011,,,,,,,,,,,,,,,,,,,,,,0.025,0.129,,,,,,,,,,0.005,,,,,,,,0.018,1.49,,,,,0.002,,,,,,,10.2,,140000,,,,,20,,,0.03,0.03,7.9,10.205
South Salt Creek,3/04/2007 0:00,377463,6000594,100.44,,,,,,0.01,0.013,0.005,,,,,,,0.005,,,,,,,,,,,16.5,2.72,,,,,209000,0.01,,,,,,,,,,,,,,,,,,,,,,0.018,0.055,,,,,,,,,,0.005,,,,,,,,0.02,0.705,,,,,0.002,,,,,,,6.73,,190000,,,,,18,,,0.03,0.03,7.7,6.735
South Salt Creek,22/08/2007 16:05,377463,6000594,100.44,,,,,,0.01,0.065,0.85,,,,,,,0.005,,,,,,,,,,,19.3,2.84,,,,,123000,0.01,,,,,,,,,,,,,,,,,,,,,,0.039,0.176,,,,,,,,,,0.108,,,,,,,,0.034,0.399,,,,,0.002,,,,,,,7.92,,97000,,,,,12,,,0.034,0.035,7.9,8.028
South Salt Creek,19/11/2007 9:30,377463,6000594,100.44,,,,,,0.01,0.016,0.005,,,,,,,0.005,,,,,,,,,,,45.4,2.76,,,,,125000,0.026,,,,,,,,,,,,,,,,,,,,,,0.021,0.057,,,,,,,,,,0.005,,,,,,,,0.012,0.308,,,,,0.002,,,,,,,5.3,,99000,,,,,11,,,0.005,0.005,8.2,5.305
South Salt Creek,27/02/2008 17:15,377463,6000594,100.44,,,,,,0.02,0.051,0.016,,,,,,,0.005,,,,,,,,,,,3.66,0.1,,,,,188000,0.0145,,,,,,,,,,,,,,,,,,,,,,0.05,0.112,,,,,,,,,,0.005,,,,,,,,0.018,0.555,,,,,0.002,,,,,,,5.92,,170000,,,,,17,,,0.085,0.08,7.8,5.925
South Salt Creek,29/05/2008 9:50,377463,6000594,100.44,,,,,,0.04,0.117,0.042,,,,,,,0.005,,,,,,,,,,,101,15.9,,,,,174000,0.01,,,,,,,,,,,,,,,,,,,,,,0.056,0.257,,,,,,,,,,0.013,,,,,,,,0.017,0.483,,,,,0.002,,,,,,,5.96,,150000,,,,,18,,,0.03,0.03,7.9,5.973
South Salt Creek,25/08/2008 0:00,377463,6000594,100.44,,,,,,0.04,0.215,0.008,,,,,,,0.005,,,,,,,,,,,2.33,0.1,,,,,146000,0.106,,,,,,,,,,,,,,,,,,,,,,0.067,0.357,,,,,,,,,,0.028,,,,,,,,0.067,0.277,,,,,0.002,,,,,,,4.82,,120000,,,,,10,,,0.03,0.015,7.9,4.848
South Salt Creek,24/11/2008 12:50,377463,6000594,100.44,,,,,,0.04,0.051,0.005,,,,,,,0.005,,,,,,,,,,,36.7,1.11,,,,,161000,0.087,,,,,,,,,,,,,,,,,,,,,,0.062,0.14,,,,,,,,,,0.005,,,,,,,,0.01,0.253,,,,,0.002,,,,,,,4.57,,140000,,,,,3.1,,,0.03,0.03,8.3,4.575
South Salt Creek,23/02/2009 0:00,377463,6000594,100.44,,,,,,0.05,0.05,0.01,,,,,,,0.005,,,,,,,,,,,20.5,0.21,,,,,94500,0.01,,,,,,,,,,,,,,,,,,,,,,0.075,0.211,,,,,,,,,,0.005,,,,,,,,0.011,0.126,,,,,0.002,,,,,,,4.36,,70000,,,,,14,,,0.03,0.03,8.6,4.365
South Salt Creek,1/06/2009 14:00,377463,6000594,100.44,,,,,,0.05,0.05,0.005,,,,,,,0.005,,,,,,,,,,,17.3,3.22,,,,,193000,0.01,,,,,,,,,,,,,,,,,,,,,,0.051,0.134,,,,,,,,,,0.005,,,,,,,,0.018,0.37,,,,,0.002,,,,,,,6.73,,170000,,,,,7.4,,,0.03,0.03,8.1,6.735
South Salt Creek,25/08/2009 0:00,377463,6000594,100.44,,,,,191,0.028,0.158,1.293,,,,,233,,0.0005,,,,,,,,,,,6.71,0.42,,,,,151000,0.0155,,,,,,,,,,,,,,,,,,,,,,0.072,0.375,,,,,,,,,,0.019,,,,,,,,0.087,0.324,,,,,0.00015,,,,,,,5.23,,130000,,,,,17,,,0.0145,0.056,7.7,5.249
South Salt Creek,23/11/2009 14:25,377463,6000594,100.44,,,,,164,0.01,0.01,0.061,,,,,76,,0.001,,,,61,,,,,,,15.8,0.86,,,,,32500,0.001,,,,,,,,,,,,,,,,,,,,,,0.005,0.03,,,,,,,,,,0.005,,,,,,,,0.005,0.051,,,,,0.0004,,,,,,,1.3,,20000,,,,,5.3,,,0.003,0.003,9.3,1.305
South Salt Creek,15/02/2010 13:10,377463,6000594,100.44,,,,,196.5,0.01,0.01,0.041,,,,,239.5,,0.001,,,,,,,,,,,7.72,0.92,,,,,57800,0.001,,,,,,,,,,,,,,,,,,,,,,0.031,0.0621,,,,,,,,,,0.005,,,,,,,,0.01,0.093,,,,,0.0003,,,,,,,2.21,,39000,,,,,3.2,,,0.003,0.003,8.3,2.215
South Salt Creek,9/06/2010 12:30,377463,6000594,100.44,,,,,283,0.01,0.01,0.193,,,,,346,,0.001,,,,,,,,,,,6.46,0.84,,,,,61100,0.001,,,,,,,,,,,,,,,,,,,,,,0.605,5.83,,,,,,,,,,0.183,,,,,,,,0.021,0.107,,,,,0.0003,,,,,,,2.1,,41000,,,,,7.7,,,0.003,0.012,8.2,2.283
South Salt Creek,13/09/2010 15:05,377463,6000594,100.44,,,,,,0.01,0.038,0.12,,,,,,,0.005,,,,,,,,,,,5.82,1.06,,,,,97800,0.006,,,,,,,,,,,,,,,,,,,,,,0.01,0.056,,,,,,,,,,0.003,,,,,,,,0.003,0.131,,,,,0.0003,,,,,,,2.89,,73000,,,,,6.6,,,0.005,0.005,8.2,2.893
South Salt Creek,13/12/2010 10:30,377463,6000594,100.44,,,,,,0.01,0.01,0.005,,,,,,,0.005,,,,,,,,,,,16.8,3.4,,,,,75200,0.009,,,,,,,,,,,,,,,,,,,,,,0.019,0.039,,,,,,,,,,0.005,,,,,,,,0.006,0.112,,,,,0.0003,,,,,,,2.26,,53000,,,,,2.1,,,0.005,0.005,8.6,2.265
South Salt Creek,14/03/2011 9:45,377463,6000594,100.44,,,,,,0.01,0.017,0.005,,,,,,,0.005,,,,,,,,,,,110,28,,,,,141000,0.019,,,,,,,,,,,,,,,,,,,,,,0.014,0.049,,,,,,,,,,0.003,,,,,,,,0.005,0.082,,,,,0.0003,,,,,,,1.33,,120000,,,,,6.4,,,0.005,0.005,8,1.333
South Salt Creek,14/06/2011 14:45,377463,6000594,100.44,,,,,,0.015,0.015,0.005,,,,,,,0.005,,,,,,,,,,,60.9,13.8,,,,,123000,0.024,,,,,,,,,,,,,,,,,,,,,,0.013,0.059,,,,,,,,,,0.003,,,,,,,,0.013,0.321,,,,,0.0003,,,,,,,6.75,,97000,,,,,5.2,,,0.005,0.005,8,6.753
South Salt Creek,12/09/2012 13:10,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,30500,,,,,,,,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,13,,,,,,
South Salt Creek,13/12/2012 11:05,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,41300,,,,,,,,91700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000,,,,,4,,,,,,
South Salt Creek,13/02/2013 8:50,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,53400,,,,,,,,113000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87000,,,,,16,,,,,,
South Salt Creek,18/03/2013 0:00,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,55700,,,,,,,,127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,19,,,,,,
South Salt Creek,24/09/2013 12:16,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,26800,,22,6.46,,,,,67800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,,,,,7.4,,,,,8.2,
South Salt Creek,22/10/2013 12:30,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,17600,,18.1,5.38,,,,,61200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000,,,,,8.4,,,,,8.3,
South Salt Creek,21/11/2013 12:12,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,31100,,64.2,28.2,,,,,73500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000,,,,,16,,,,,8.2,
South Salt Creek,17/12/2013 0:00,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,30300,,85.6,45.2,,,,,81400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000,,,,,18,,,,,8.3,
South Salt Creek,22/01/2014 0:00,377463,6000594,100.44,,,,,,,,,,,,,,,,,,,,,,,,39100,,0.1,0.1,,,,,98300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000,,,,,17,,,,,7.9,
South Salt Creek,14/07/2014 0:00,377463,6000594,100.44,,,,4800000,179,,,0.005,,,,,219,,,,,,,,960360,,,32200,,82,17.3,,,,,90100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.005,0.003,,,,,,0.003,0.248,,,,3.22,,,,,,,,3.85,,66000,,,,,11,,,,,8,3.854
South Salt Creek,16/09/2014 13:50,377463,6000594,100.44,,,,196000,,,,0.038,,,,,,,,,,,,,49125,,,6650,,6.14,0.43,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,,0.006,0.051,,,,9.21,,,,,,,,1.11,,11000,,,,,6.4,,,,,,1.114
South Salt Creek,15/10/2014 13:05,377463,6000594,100.44,,,,205000,255,,,0.03,,,,,238,4700,,,,,36,,25646.25,,,9730,,8.52,1.49,,,,,26100,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,0.005,0.005,0.003,,,,,,0.007,0.041,,,,8.76,,,,,,,,1.23,,16000,,,,,6.3,,,,,8.7,1.235
South Salt Creek,13/11/2014 10:24,377463,6000594,100.44,,,,1940000,,,,0.005,,,,,,9040,,,,,,,387758,,,30400,,30.5,5.18,,,,,89500,,,,,,,,,,,,,,,,,9040,,,,,,,,,,,,,,,,,0.003,,,3.15,,,,,0.003,0.203,,,,2.61,,,,,,,,3.15,,65000,,,,,9.4,,,,,,3.153
South Salt Creek,10/12/2014 11:30,377463,6000594,100.44,,,,1950000,,,,0.005,,,,,,,,,,,,,486912.5,,,32900,,46,7.84,,,,,97700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,4.69,,,,,0.003,0.223,,,,2.19,,,,,,,,4.69,,73000,,,,,13,,,,,,4.693
South Salt Creek,21/01/2015 11:50,377463,6000594,100.44,,18.6,,489000,200,,,0.005,,,,,244,,,,,,,,122250,,,49800,,38.3,7.63,,,,,107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.005,0.003,3.8,,,,,0.003,0.235,,,,1.57,,,,,,,,5.01,,81000,,,,,14,,,,,8.1,5.013
South Salt Creek,23/04/2015 11:45,377463,6000594,100.44,,9.1,,1480000,374,,,0.005,,,,,456,,,,,,,,164416.6667,,,26400,,85.1,9.86,,,,,38950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.005,0.003,3.28,,,,,0.005,0.105,,,,5.25,,,,,,,,3.28,,27500,,,,,13,,,,,4,3.283
South Salt Creek,16/07/2015 0:00,377463,6000594,100.44,,,,,,,,0.005,,,,,,,,,,,,,,,,19600,,34.2,6.69,,,,,63900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,2.82,,,,,0.003,0.094,,,,9.11,,,,,,,,2.79,,43000,,,,,26.5,,,,,,2.818
South Salt Creek,8/10/2015 12:45,377463,6000594,100.44,,,,,,,,0.005,,,,,,,,,,,,,,,,31600,,13.9,2.64,,,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,3.11,,,,,0.008,0.116,,,,3.61,,,,,,,,3.11,,60000,,,,,8.6,,,,,,3.113
South Salt Creek,5/01/2016 11:45,377463,6000594,100.44,,,,,,,,0.005,,,,,,,,,,,,,,,,41100,,79.6,14.6,,,,,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,6.73,,,,,0.011,0.263,,,,4.58,,,,,,,,6.73,,99000,,,,,16,,,,,,6.733
Mark Pt,7/01/1998 0:00,325762,6054914,20.97,,,0.05,,152,,0.401,0.01,0.001,0.003,1.2,0.6,186,,0.0002,450,1120,5,,152,,,,24000,39600,,,,,0.05,0.005,62800,0.005,,,,0.6,0.05,,,42600,0.05,,,0.05,,0.6,,,,0.05,0.05,1.5,-1.78,,0.215,1.05,0.001,0.05,1520,6280,0.6,,,,0.01,,,,7249,0.6,0.6,,0.025,0.145,628,1.2,0.001,1,0.0002,1.2,12800,64.6,77.2,3120,,2.25,,43000,,7401,,0.1,,,,,0.265,7.8,2.26
Mark Pt,8/04/1998 0:00,325762,6054914,20.97,,,0.05,,111,,0.119,0.12,0.001,0.003,1.2,0.6,136,,0.0002,396,989,2,,112,,,,19100,31500,,,,,0.05,0.002,52800,0.004,,,,0.6,0.05,,,34500,0.05,,,0.05,,0.6,,,,0.05,0.05,1.5,0.63,,0.299,1.05,0.005,0.05,1370,5640,0.6,,,,0.005,,,,6514,0.6,0.6,,0.022,0.15,403,1.2,0.001,1,0.0003,1.2,10600,56.5,76.3,2600,,1.2,,35000,,6626,,0.1,,,,,0.049,8,1.205
Mark Pt,24/08/1998 15:20,325762,6054914,20.97,,,,,115,,0.071,0.189,0.001,0.001,,,140,,0.0004,200,498,2,,115,,,,11100,18200,,,,,,0.005,30700,0.005,,,,,,,,19300,,,,,,,,,,,,,-3.27,,0.056,0.84,0.003,,720,2970,,,,,0.014,,,,3349,,,,0.025,0.027,213,,0.001,1,0.0002,,5670,42,76.8,1390,,0.55,,19000,,3464,,,,,,,0.311,8.1,0.564
Mark Pt,1/12/1998 16:40,325762,6054914,20.97,,,,,137,,0.056,0.1,0.001,0.005,,,155,,0.0002,345,862,1,6,137,,,,15500,25500,,,,,,0.001,40000,0.002,,,,,,,,27700,,,,,,,,,,,,,-1.08,,0.193,1.29,0.005,,1100,4510,,,,,0.09,,,,5238,,,,0.05,0.038,367,,0.001,3,0.0004,,8210,48.8,75.4,2130,,1.1,,25000,,5375,,,,,,,0.038,8.3,1.19
Mark Pt,9/12/1999 14:40,325762,6054914,20.97,,,,,,,0.293,0.025,0.002,0.002,,,,,0.0004,,,,,,,,,,,7.4,0.1,,,,0.001,35100,,,,,,,,,,,,,,,,,,,,,,,,0.207,,0.005,,,,,0.0003,,0.025,0.008,,,,,,,,0.005,0.179,,,0.002,1,0.0004,,,,,,,1.7,,22000,,,,,6.3,,,,0.075,8.4,1.708
Mark Pt,27/03/2000 16:59,325762,6054914,20.97,,,,,,,0.281,0.1,,,,,,,0.0008,,,,,,,,,,,5.6,0.5,,,,0.001,50400,,,,,,,,,,,,,,,,,,,,,,,,0.159,,0.005,,,,,0.0003,,,0.005,,,,,,,,0.007,0.042,,,,0.29,0.0014,,,,,,,0.49,,33000,,,,,2.1,,,,0.01,8.1,0.495
