Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site,Conductivity,ON,OP,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_POC,WQ_OGM_PON,WQ_OGM_POP,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHS_FRP_ADS,WQ_PHY_GRN,WQ_SIL_RSI,WQ_TRC_SS1,pH
EPA2014_Hindmarsh_Island_Hunters_Creek_5,308283,6065530,21,8/09/2010,23/12/2014,1544,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Hunters_Creek_6,308304,6065516,21,16/09/2010,23/12/2014,918,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Mundoo_Channel_2,312516,6065450,10,20/07/2010,29/07/2010,40, , , , , , , , ,x,x, , , , , , ,x,x, ,x,x,x, ,x,x,x, , , , , , , , , , , , , , , , 
EPA2014_LMRIA_Plume_Burdett,343625.8122,6112467.784,22,13/09/2012,13/09/2012,960,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , ,x, , ,x, , , , , , ,x,x, 
EPA2014_LMRIA_Plume_Jervois,355865.9982,6100008,18,6/09/2011,2/09/2013,3486,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x, ,x, , , , , , , , , , , , , ,x, 
EPA2014_LMRIA_Plume_Jervois_Wellington,354386.9074,6092491.666,26,7/02/2013,4/04/2013,3304,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Jervois_Woods_Point,359638.522,6096050.457,26,22/05/2013,22/05/2013,1302,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Jervois_Monteith,356115.1658,6099865.215,8,1/12/2011,19/06/2012,1424,x, , ,x,x, ,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , ,x, 
EPA2014_LMRIA_Plume_Long_Flat,345101.972,6111309.407,26,18/01/2012,5/03/2013,2762,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Mobilong,342929.1797,6113820.308,26,6/07/2012,19/12/2012,4122,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Monteith,348263.9528,6104461.23,26,26/09/2012,18/04/2013,3406,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Riverglen,346333.5578,6106263.842,26,23/01/2013,23/01/2013,1158,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Toora,345468.5453,6115835.749,26,18/01/2012,8/05/2013,3770,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Westbrook_Park,355806.7642,6100219.199,26,15/08/2012,21/02/2013,2406,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_LMRIA_Plume_Woods_Point,351936.2545,6103146.683,26,2/11/2012,2/11/2012,1420,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x, , ,x, , , ,x,x, ,x,x, 
EPA2014_Lake_Albert_Bascombe_Bay_1,342645,6045987,6,15/04/2010,13/10/2011,48,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_2,343356,6045634,6,15/04/2010,21/06/2010,22,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_3,343652,6045437,6,15/04/2010,30/08/2010,48,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_4,343509,6046770,6,15/04/2010,12/07/2010,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_5,342774,6046873,6,15/04/2010,30/08/2010,48,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_6,343911,6045207,6,12/07/2010,6/02/2013,168,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_7,342493,6044966,6,30/08/2010,30/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Bascombe_Bay_8,343149,6044008,6,25/11/2010,6/02/2013,156,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Campbell_Park,343074,6058338,36,20/02/2008,19/11/2010,1032,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Albert_Granite_2,352115,6059211,6,12/07/2010,12/07/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Juron_Swamp_1,339385,6065904,21,16/03/2011,14/03/2013,106,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Juron_Swamp_2,339448,6065896,6,16/03/2011,14/03/2013,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Juron_Swamp_3,339571,6065813,6,16/03/2011,14/03/2013,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Juron_Swamp_4,339676,6065696,6,16/03/2011,14/03/2013,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrows_1,340402,6067073,5,3/06/2010,3/06/2010,10,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrows_10,337800,6067681,10,7/09/2010,15/05/2012,606,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_11,337712,6067277,10,7/09/2010,11/10/2010,40,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_12,337696,6067250,10,7/09/2010,8/04/2011,154,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_13,339426,6067237,10,7/09/2010,8/04/2011,168,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_14,339848,6067443,10,7/09/2010,15/05/2012,558,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_15,340507,6067057,10,7/09/2010,15/05/2012,516,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_16,341339,6066133,36,7/09/2010,15/05/2012,2082,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Albert_Narrows_17,342151,6065867,10,7/09/2010,8/04/2011,176,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_18,341872,6065528,10,7/09/2010,8/04/2011,176,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_19,342280,6065253,10,7/09/2010,15/05/2012,540,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_2,341273,6065480,6,3/06/2010,3/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrows_3,341156,6065411,6,3/06/2010,3/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrows_4,341414,6065007,6,3/06/2010,3/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrows_5,341704,6064672,21,3/06/2010,3/06/2010,42,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Narrows_6,335711,6068576,10,7/09/2010,12/01/2012,196,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_7,335722,6068349,36,7/09/2010,16/02/2012,1042,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Albert_Narrows_8,336596,6067746,21,7/09/2010,15/05/2012,1344,x, , ,x,x,x,x, ,x,x, ,x, , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrows_9,337949,6068173,10,7/09/2010,6/05/2011,188,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Narrung,335568,6068932,36,3/03/2010,9/12/2014,1390,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Albert_Narrung_Narrows_Swamp_1,334659,6068443,6,16/03/2011,3/10/2013,92,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrung_Narrows_Swamp_2,334710,6068390,6,16/03/2011,16/03/2011,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrung_Narrows_Swamp_3,334606,6068388,6,16/03/2011,16/03/2011,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Narrung_Swamp_1,334602,6068550,21,18/01/2011,6/02/2013,140,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Opening,344391,6063658,21,20/02/2008,9/02/2016,4385,x, , ,x,x,x,x, ,x,x, ,x,x, ,x, ,x,x, ,x,x,x,x,x,x,x, , , ,x, , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_1,340998,6061262,23,15/04/2010,6/02/2013,176,x, , ,x,x,x,x, ,x,x,x, , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, ,x, , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Reedy_Point_2,341267,6061634,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_3,341766,6061915,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_4,341568,6062789,10,15/04/2010,7/09/2010,32,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Lake_Albert_Reedy_Point_5,340727,6060739,21,3/06/2010,30/08/2010,124,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Reedy_Point_6,340949,6061171,6,3/06/2010,3/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_7,341043,6060723,6,30/08/2010,30/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_A,340832,6060938,12,12/05/2010,13/10/2011,70,x, , ,x,x,x,x, ,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_B,340889,6060998,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_C,340923,6061089,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_D,340956,6061186,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_E,340755,6061388,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_F,340903,6061576,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_G,341199,6061026,5,12/05/2010,12/05/2010,10,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EPA2014_Lake_Albert_Reedy_Point_H,341358,6061426,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_I,340726,6060724,6,21/06/2010,21/06/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_Pool,340860,6060867,12,12/05/2010,12/05/2010,24,x, , ,x,x,x,x, ,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_South_1,341452,6060041,6,15/04/2010,30/08/2010,48,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_South_2,340427,6058283,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_South_3,339652,6057730,6,15/04/2010,21/06/2010,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_South_4,339404,6057405,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Reedy_Point_South_Scum,340382,6058123,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point,343040,6056795,6,15/04/2010,28/07/2010,36,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_North_1,339337,6056402,6,15/04/2010,21/06/2010,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_North_2,339890,6056533,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_North_3,338732,6056419,21,3/06/2010,30/08/2010,96,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Rumply_Point_North_A,339499,6056958,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_Pool,339133,6056393,6,15/04/2010,18/11/2010,34,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_Pool_1,338637,6056391,23,15/04/2010,6/02/2013,560,x, , ,x,x,x,x, ,x,x,x, , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, ,x, , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Rumply_Point_Pool_2,339034,6056242,21,30/08/2010,7/09/2010,52,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Rumply_Point_South_1,340567,6054015,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_2,339093,6053047,6,15/04/2010,28/07/2010,36,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_3,338162,6052625,6,30/08/2010,30/08/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_1,339346,6051410,6,15/04/2010,15/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2,339532,6049655,12,15/04/2010,15/04/2010,24,x, , ,x,x,x,x, ,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_A,339516,6049694,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_B,339266,6049583,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_C,339539,6049390,6,12/05/2010,12/05/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_D,339348,6049927,5,12/05/2010,12/05/2010,10,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EPA2014_Lake_Albert_South_West,341650,6050496,41,20/02/2008,23/06/2011,5876,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Albert_Teringie_Swamp_1,352521,6059076,21,10/12/2010,14/03/2013,104,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Albert_Waringie_Point,339913,6048551,6,16/02/2011,3/06/2011,36,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Albert_Water_Level_Recorder,349307,6058801,41,29/04/2008,16/10/2014,8764,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_1,335414,6089677,21,12/04/2010,18/06/2014,842,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_10,335513,6090759,21,12/04/2010,18/06/2014,872,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_11,335889,6090392,6,12/04/2010,12/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_12,336990,6090825,6,12/04/2010,21/04/2010,22,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_13,337705,6090612,6,12/04/2010,21/04/2010,22,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_14,337935,6089784,6,12/04/2010,21/04/2010,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_15,337932,6089992,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_16,337925,6090198,21,21/04/2010,20/01/2011,254,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_17,337944,6090407,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_18,337644,6090420,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_19,337629,6090213,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_2,334979,6089950,6,12/04/2010,27/03/2013,22,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_20,337589,6089961,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_21,337179,6090018,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_22,337111,6090323,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_23,337070,6090594,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_24,336497,6090538,21,21/04/2010,31/05/2011,362,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_25,336480,6090343,6,21/04/2010,21/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_26,334593,6089728,5,21/04/2010,21/04/2010,10,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_27,335039,6090547,5,21/04/2010,21/04/2010,10,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_28,335487,6090199,21,21/04/2010,20/01/2011,274,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_29,335209,6089498,5,5/05/2010,27/05/2010,28,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_3,335053,6090395,11,12/04/2010,27/03/2013,34,x, , ,x,x,x,x, ,x,x, , , , , , , , , ,x,x, , , , ,x, , , , , , , , , ,x, , , , , , 
EPA2014_Lake_Alexandrina_Boggy_Lake_30,334657,6090634,21,18/05/2010,6/03/2012,276,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Lake_Alexandrina_Boggy_Lake_31,334107,6089738,21,18/05/2010,6/03/2012,586,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
