!				1				2			3			4			5			6			7,
&bc
headings1 = 	timestep, 	time, 	      oxy,		  nit,		  amm,		 frp, 	      pocl,
                551,         275.00,       128.9386,      1.9282,      3.4311,      0.0421,      0.0080,
                552,         275.50,       129.9164,      1.9124,      3.4185,      0.0422,      0.0030,
                553,         276.00,       130.6025,      1.9019,      3.4056,      0.0421,      0.0022,
                554,         276.50,       130.9177,      1.8978,      3.4014,      0.0421,      0.0000,
                555,         277.00,       131.2172,      1.8946,      3.3945,      0.0420,      0.0000,
                556,         277.50,       131.4191,      1.8929,      3.3890,      0.0420,      0.0001,
                557,         278.00,       131.7657,      1.8899,      3.3811,      0.0419,      0.0000,
                558,         278.50,       131.8766,      1.8890,      3.3824,      0.0419,      0.0000,
                559,         279.00,       132.4690,      1.8834,      3.3709,      0.0417,      0.0000,
                560,         279.50,       132.8766,      1.8788,      3.3667,      0.0417,      0.0036,
                561,         280.00,       133.2307,      1.8757,      3.3592,      0.0416,      0.0000,
                562,         280.50,       133.0242,      1.8728,      3.3540,      0.0415,      0.0000,
                563,         281.00,       133.0342,      1.8551,      3.3288,      0.0412,      0.0000,
                564,         281.50,       131.8132,      1.8356,      3.2936,      0.0408,      0.0000,
                565,         282.00,       129.9720,      1.7991,      3.2279,      0.0400,      0.0000,
                566,         282.50,       127.8382,      1.7663,      3.1748,      0.0394,      0.0000,
                567,         283.00,       126.7051,      1.7469,      3.1390,      0.0389,      0.0000,
                568,         283.50,       126.4258,      1.7354,      3.1176,      0.0386,      0.0000,
                569,         284.00,       126.6484,      1.7285,      3.1055,      0.0385,      0.0000,
                570,         284.50,       127.4101,      1.7265,      3.1011,      0.0385,      0.0003,
                571,         285.00,       127.8265,      1.7245,      3.0962,      0.0384,      0.0000,
                572,         285.50,       127.8265,      1.7245,      3.0962,      0.0384,      0.0000,
                573,         286.00,       128.8476,      1.7180,      3.0863,      0.0382,      0.0001,
                574,         286.50,       129.1894,      1.7165,      3.0827,      0.0381,      0.0000,
                575,         287.00,       130.0748,      1.7119,      3.0743,      0.0380,      0.0000,
                576,         287.50,       130.4466,      1.7102,      3.0708,      0.0379,      0.0000,
                577,         288.00,       130.7016,      1.7092,      3.0685,      0.0379,      0.0000,
                578,         288.50,       130.7016,      1.7092,      3.0685,      0.0379,      0.0000,
                579,         289.00,       131.1701,      1.7073,      3.0647,      0.0377,      0.0000,
                580,         289.50,       131.6912,      1.7028,      3.0598,      0.0377,      0.0025,
                581,         290.00,       131.8826,      1.7011,      3.0580,      0.0377,      0.0001,
                582,         290.50,       131.5543,      1.6934,      3.0460,      0.0375,      0.0004,
                583,         291.00,       130.5602,      1.6703,      3.0086,      0.0371,      0.0007,
                584,         291.50,       130.6794,      1.6368,      2.9711,      0.0369,      0.0027,
                585,         292.00,       131.0699,      1.6200,      2.9481,      0.0367,      0.0009,
                586,         292.50,       133.9603,      1.5892,      2.9748,      0.0383,      0.0007,
                587,         293.00,       134.4263,      1.5839,      2.9694,      0.0383,      0.0000,
                588,         293.50,       137.1209,      1.5582,      2.9826,      0.0407,      0.0004,
                589,         294.00,       138.2684,      1.5425,      2.9805,      0.0422,      0.0008,
                590,         294.50,       150.8038,      1.3949,      3.5222,      0.0660,      0.0013,
                591,         295.00,       154.3367,      1.3307,      3.4646,      0.0633,      0.0001,
                592,         295.50,       154.0977,      1.3207,      3.4430,      0.0629,      0.0011,
                593,         296.00,       154.4856,      1.3130,      3.4275,      0.0625,      0.0003,
                594,         296.50,       156.6095,      1.2933,      3.4110,      0.0632,      0.0016,
                595,         297.00,       158.2497,      1.2670,      3.3715,      0.0636,      0.0008,
                596,         297.50,       158.4605,      1.2580,      3.3538,      0.0634,      0.0000,
                597,         298.00,       158.5317,      1.2551,      3.3465,      0.0634,      0.0001,
                598,         298.50,       164.1845,      1.2114,      3.3157,      0.0660,      0.0009,
                599,         299.00,       166.3688,      1.1766,      3.3034,      0.0657,      0.0008,
                600,         299.50,       166.3457,      1.1689,      3.2920,      0.0654,      0.0001,
                601,         300.00,       166.2830,      1.1678,      3.2847,      0.0652,      0.0000,
                602,         300.50,       167.0708,      1.1619,      3.2843,      0.0654,      0.0000,
                603,         301.00,       167.9899,      1.1454,      3.3220,      0.0661,      0.0001,
                604,         301.50,       159.5376,      1.0840,      3.1588,      0.0626,      0.0000,
                605,         302.00,       140.3504,      0.9413,      2.8421,      0.0558,      0.0019,
                606,         302.50,       120.4913,      0.8083,      2.4539,      0.0479,      0.0015,
                607,         303.00,       112.6895,      0.7494,      2.2671,      0.0439,      0.0035,
                608,         303.50,       111.0678,      0.7329,      2.2144,      0.0427,      0.0000,
                609,         304.00,       110.8128,      0.7258,      2.1956,      0.0423,      0.0009,
                610,         304.50,       110.1591,      0.7003,      2.1428,      0.0413,      0.0007,
                611,         305.00,       106.3944,      0.6353,      1.9615,      0.0378,      0.0010,
                612,         305.50,       97.6927,      0.5739,      1.7620,      0.0336,      0.0053,
                613,         306.00,       90.6025,      0.5198,      1.5914,      0.0300,      0.0030,
                614,         306.50,       86.4691,      0.4850,      1.4788,      0.0277,      0.0056,
                615,         307.00,       86.0824,      0.4733,      1.4380,      0.0266,      0.0042,
                616,         307.50,       85.9774,      0.4678,      1.4157,      0.0260,      0.0031,
                617,         308.00,       83.9417,      0.4457,      1.3542,      0.0248,      0.0021,
                618,         308.50,       84.2677,      0.4242,      1.3122,      0.0241,      0.0016,
                619,         309.00,       82.6645,      0.4162,      1.2853,      0.0236,      0.0000,
                620,         309.50,       82.5458,      0.4137,      1.2805,      0.0235,      0.0000,
                621,         310.00,       82.2674,      0.4125,      1.2758,      0.0234,      0.0000,
                622,         310.50,       82.2949,      0.4116,      1.2746,      0.0234,      0.0000,
                623,         311.00,       82.2501,      0.4114,      1.2739,      0.0234,      0.0000,
                624,         311.50,       82.1634,      0.4109,      1.2726,      0.0234,      0.0000,
                625,         312.00,       81.8951,      0.4098,      1.2680,      0.0233,      0.0000,
                626,         312.50,       80.3140,      0.4021,      1.2430,      0.0228,      0.0000,
                627,         313.00,       77.7635,      0.3878,      1.2115,      0.0222,      0.0008,
                628,         313.50,       80.9671,      0.4018,      1.3403,      0.0250,      0.0005,
                629,         314.00,       81.6598,      0.3914,      1.3213,      0.0245,      0.0010,
                630,         314.50,       82.9370,      0.3892,      1.3300,      0.0247,      0.0000,
                631,         315.00,       83.1064,      0.3879,      1.3291,      0.0248,      0.0002,
                632,         315.50,       86.8167,      0.3823,      1.3550,      0.0263,      0.0015,
                633,         316.00,       90.2274,      0.3764,      1.3630,      0.0275,      0.0005,
                634,         316.50,       100.7258,      0.3626,      1.4429,      0.0335,      0.0009,
                635,         317.00,       105.1901,      0.3552,      1.4508,      0.0353,      0.0011,
                636,         317.50,       117.2173,      0.3412,      1.5522,      0.0427,      0.0011,
                637,         318.00,       122.8726,      0.3318,      1.5629,      0.0447,      0.0018,
                638,         318.50,       130.2086,      0.3227,      1.6335,      0.0492,      0.0009,
                639,         319.00,       132.4372,      0.3189,      1.6359,      0.0499,      0.0005,
                640,         319.50,       137.1654,      0.3119,      1.6801,      0.0533,      0.0012,
                641,         320.00,       143.9776,      0.2992,      1.6874,      0.0565,      0.0018,
                642,         320.50,       150.7347,      0.2917,      1.7681,      0.0617,      0.0005,
                643,         321.00,       152.4552,      0.2882,      1.7695,      0.0625,      0.0006,
                644,         321.50,       155.9577,      0.2830,      1.8139,      0.0659,      0.0007,
                645,         322.00,       156.3586,      0.2820,      1.8170,      0.0663,      0.0004,
                646,         322.50,       159.0838,      0.2786,      1.8721,      0.0701,      0.0011,
                647,         323.00,       159.7770,      0.2770,      1.8759,      0.0709,      0.0008,
                648,         323.50,       160.6033,      0.2756,      1.8935,      0.0724,      0.0004,
                649,         324.00,       160.6993,      0.2754,      1.8942,      0.0725,      0.0002,
                650,         324.50,       163.2505,      0.2716,      1.9190,      0.0761,      0.0016,
                651,         325.00,       166.1995,      0.2637,      1.9212,      0.0801,      0.0013,
                652,         325.50,       170.6266,      0.2581,      2.0304,      0.0891,      0.0020,
                653,         326.00,       171.1031,      0.2547,      2.0234,      0.0899,      0.0001,
                654,         326.50,       170.5035,      0.2545,      2.0175,      0.0895,      0.0000,
                655,         327.00,       170.5530,      0.2538,      2.0178,      0.0898,      0.0009,
                656,         327.50,       172.0076,      0.2521,      2.0437,      0.0922,      0.0024,
                657,         328.00,       174.0052,      0.2482,      2.0478,      0.0945,      0.0021,
                658,         328.50,       174.1468,      0.2463,      2.0548,      0.0955,      0.0002,
                659,         329.00,       172.2341,      0.2419,      2.0251,      0.0949,      0.0011,
                660,         329.50,       168.4186,      0.2346,      1.9813,      0.0938,      0.0001,
                661,         330.00,       160.7979,      0.2248,      1.8866,      0.0895,      0.0007,
                662,         330.50,       154.4204,      0.2177,      1.8257,      0.0866,      0.0029,
                663,         331.00,       145.4411,      0.2084,      1.7131,      0.0803,      0.0037,
                664,         331.50,       137.6219,      0.2010,      1.6203,      0.0752,      0.0018,
                665,         332.00,       134.1875,      0.1970,      1.5772,      0.0728,      0.0024,
                666,         332.50,       134.4615,      0.1985,      1.5805,      0.0721,      0.0036,
                667,         333.00,       134.9975,      0.1988,      1.5811,      0.0716,      0.0008,
                668,         333.50,       136.6588,      0.2001,      1.5963,      0.0717,      0.0024,
                669,         334.00,       136.7904,      0.2001,      1.5969,      0.0717,      0.0000,
                670,         334.50,       135.5293,      0.1977,      1.5803,      0.0707,      0.0000,
                671,         335.00,       129.0658,      0.1900,      1.5053,      0.0672,      0.0000,
                672,         335.50,       122.8321,      0.1886,      1.4394,      0.0635,      0.0044,
                673,         336.00,       119.4552,      0.1922,      1.4047,      0.0612,      0.0002,
                674,         336.50,       117.7688,      0.1921,      1.3904,      0.0603,      0.0016,
                675,         337.00,       117.2357,      0.1940,      1.3839,      0.0595,      0.0009,
                676,         337.50,       117.4260,      0.1993,      1.3953,      0.0592,      0.0024,
                677,         338.00,       118.6803,      0.1999,      1.4039,      0.0589,      0.0023,
                678,         338.50,       120.1366,      0.2012,      1.4285,      0.0586,      0.0021,
                679,         339.00,       114.9641,      0.1945,      1.3671,      0.0558,      0.0003,
                680,         339.50,       110.1637,      0.1882,      1.3152,      0.0533,      0.0003,
                681,         340.00,       108.3960,      0.1856,      1.2939,      0.0523,      0.0005,
                682,         340.50,       109.7468,      0.1861,      1.3091,      0.0528,      0.0004,
                683,         341.00,       109.8686,      0.1891,      1.3121,      0.0525,      0.0038,
                684,         341.50,       109.7313,      0.1906,      1.3126,      0.0523,      0.0000,
                685,         342.00,       108.4100,      0.1906,      1.2976,      0.0515,      0.0000,
                686,         342.50,       110.3199,      0.1984,      1.5497,      0.0573,      0.0010,
                687,         343.00,       110.7173,      0.1981,      1.5549,      0.0571,      0.0001,
                688,         343.50,       110.7173,      0.1981,      1.5549,      0.0571,      0.0000,
                689,         344.00,       110.7173,      0.1981,      1.5549,      0.0571,      0.0000,
                690,         344.50,       110.7173,      0.1981,      1.5549,      0.0571,      0.0000,
                691,         345.00,       111.9600,      0.2066,      1.5766,      0.0571,      0.0002,
                692,         345.50,       112.4939,      0.2135,      1.5961,      0.0573,      0.0011,
                693,         346.00,       119.8352,      0.2332,      1.7334,      0.0557,      0.0060,
                694,         346.50,       128.2872,      0.2632,      1.9094,      0.0567,      0.0043,
                695,         347.00,       132.4637,      0.2791,      1.9622,      0.0557,      0.0024,
                696,         347.50,       135.8057,      0.2984,      2.0167,      0.0551,      0.0024,
                697,         348.00,       133.9076,      0.2961,      1.9846,      0.0539,      0.0036,
                698,         348.50,       132.2337,      0.2934,      1.9554,      0.0528,      0.0000,
                699,         349.00,       131.0828,      0.2965,      1.9331,      0.0517,      0.0011,
                700,         349.50,       130.5511,      0.3075,      1.9214,      0.0507,      0.0087,
                701,         350.00,       129.2040,      0.3124,      1.8927,      0.0491,      0.0036,
                702,         350.50,       127.9184,      0.3158,      1.8666,      0.0479,      0.0029,
                703,         351.00,       127.3957,      0.3171,      1.8487,      0.0469,      0.0045,
                704,         351.50,       127.0590,      0.3182,      1.8397,      0.0465,      0.0020,
                705,         352.00,       127.3541,      0.3172,      1.8364,      0.0462,      0.0007,
                706,         352.50,       128.6501,      0.3164,      1.8512,      0.0466,      0.0003,
                707,         353.00,       131.7760,      0.3121,      1.8566,      0.0471,      0.0008,
                708,         353.50,       139.4641,      0.3052,      1.9386,      0.0508,      0.0011,
                709,         354.00,       146.5911,      0.2957,      2.0390,      0.0511,      0.0032,
                710,         354.50,       153.7338,      0.3002,      2.1604,      0.0525,      0.0042,
                711,         355.00,       149.9529,      0.2949,      2.0969,      0.0504,      0.0023,
                712,         355.50,       144.1458,      0.2876,      2.0076,      0.0479,      0.0023,
                713,         356.00,       137.2792,      0.2756,      1.9051,      0.0452,      0.0015,
                714,         356.50,       132.0940,      0.2660,      1.8206,      0.0427,      0.0030,
                715,         357.00,       128.5285,      0.2538,      1.7232,      0.0396,      0.0023,
                716,         357.50,       122.0009,      0.2473,      1.5940,      0.0355,      0.0061,
                717,         358.00,       460.0839,      1.3952,      3.1624,      0.0210,      5.6684,
                718,         358.50,       286.4054,      1.9253,      3.1185,      0.0100,      38.6914,
                719,         359.00,       282.3426,      2.0212,      3.1793,      0.0069,      447.5629,
                720,         359.50,       278.4696,      1.6369,      3.0203,      0.0119,      1453.7843,
                721,         360.00,       269.6378,      1.0166,      2.3443,      0.0166,      2869.4619,
                722,         360.50,       245.0329,      1.0020,      2.5803,      0.0254,      525.2022,
                723,         361.00,       238.8801,      0.8255,      2.3171,      0.0145,      91.3038,
                724,         361.50,       229.4301,      0.7911,      2.2228,      0.0144,      3.3567,
                725,         362.00,       201.4834,      0.9869,      2.4151,      0.0200,      1228.9665,
                726,         362.50,       133.1149,      0.9652,      2.3060,      0.0168,      1283.4984,
                727,         363.00,       285.7532,      0.8305,      2.0057,      0.0122,      1692.8588,
                728,         363.50,       285.2180,      0.8277,      2.0714,      0.0153,      1383.9165,
                729,         364.00,       290.0788,      0.7564,      2.0714,      0.0178,      1142.0787,
                730,         364.50,       220.6885,      0.8533,      2.5388,      0.0295,      473.5664,
                731,         365.00,       252.0772,      0.7366,      2.1796,      0.0178,      74.3522,
                732,         365.50,       248.1178,      0.7264,      2.1461,      0.0175,      0.1256,
                733,         366.00,       246.8462,      0.7217,      2.1356,      0.0175,      0.1866,
                734,         366.50,       246.7951,      0.7181,      2.1456,      0.0179,      0.0731,
                735,         367.00,       246.8727,      0.7165,      2.1470,      0.0180,      0.0124,
                736,         367.50,       248.1920,      0.6994,      2.1742,      0.0198,      0.0484,
                737,         368.00,       247.4051,      0.6833,      2.1626,      0.0200,      0.0571,
                738,         368.50,       243.6975,      0.6707,      2.1403,      0.0202,      0.0150,
                739,         369.00,       235.3199,      0.6515,      2.0679,      0.0194,      0.0514,
                740,         369.50,       220.5869,      0.6164,      1.9408,      0.0181,      0.0375,
                741,         370.00,       197.8735,      0.5561,      1.7408,      0.0161,      0.0174,
                742,         370.50,       179.9104,      0.5095,      1.5891,      0.0147,      0.0129,
                743,         371.00,       174.2271,      0.4935,      1.5411,      0.0142,      0.0095,
                744,         371.50,       177.0498,      0.4984,      1.5873,      0.0150,      0.0124,
                745,         372.00,       180.9074,      0.5013,      1.6229,      0.0152,      0.0227,
                746,         372.50,       176.8634,      0.4930,      1.6052,      0.0153,      0.0219,
                747,         373.00,       154.9067,      0.4414,      1.4102,      0.0129,      0.0453,
                748,         373.50,       257.7443,      1.6232,      2.8501,      0.0136,      12.5942,
                749,         374.00,       295.2338,      1.7025,      3.1771,      0.0181,      10.2547,
                750,         374.50,       90.9568,      1.7709,      3.0780,      0.0152,      13.8746,
                751,         375.00,       162.0720,      1.4651,      3.0699,      0.0169,      8.1055,
                752,         375.50,       248.2865,      1.3340,      2.8023,      0.0159,      0.0278,
                753,         376.00,       265.9160,      1.1027,      2.4538,      0.0052,      0.8256,
                754,         376.50,       239.1111,      0.9924,      2.2063,      0.0047,      0.0021,
                755,         377.00,       229.9419,      0.9543,      2.1214,      0.0045,      0.0026,
                756,         377.50,       229.2665,      0.9500,      2.1176,      0.0046,      0.0055,
                757,         378.00,       229.0351,      0.9479,      2.1152,      0.0046,      0.0010,
                758,         378.50,       228.8987,      0.9459,      2.1146,      0.0047,      0.0011,
                759,         379.00,       229.7886,      0.9323,      2.1140,      0.0050,      0.0046,
                760,         379.50,       230.7981,      0.9153,      2.1226,      0.0059,      0.0035,
                761,         380.00,       231.2903,      0.8958,      2.1216,      0.0065,      0.0123,
                762,         380.50,       225.3030,      0.8758,      2.0891,      0.0072,      0.0162,
                763,         381.00,       208.8239,      0.8225,      1.9505,      0.0066,      0.0195,
                764,         381.50,       188.9385,      0.7576,      1.7734,      0.0060,      0.0262,
                765,         382.00,       274.5368,      2.0807,      3.0946,      0.0029,      1.3375,
                766,         382.50,       257.2673,      1.9507,      2.9019,      0.0028,      0.0074,
                767,         383.00,       251.5356,      1.9069,      2.8373,      0.0027,      0.0008,
                768,         383.50,       251.3258,      1.9023,      2.8399,      0.0029,      0.0054,
                769,         384.00,       251.4022,      1.8955,      2.8396,      0.0029,      0.0012,
                770,         384.50,       251.4378,      1.8891,      2.8429,      0.0032,      0.0014,
                771,         385.00,       251.7679,      1.8751,      2.8404,      0.0033,      0.0006,
                772,         385.50,       255.2316,      1.7926,      2.8680,      0.0064,      0.0032,
                773,         386.00,       255.9900,      1.7601,      2.8579,      0.0071,      0.0011,
                774,         386.50,       258.6604,      1.6777,      2.8992,      0.0122,      0.0019,
                775,         387.00,       259.0228,      1.6604,      2.8961,      0.0127,      0.0007,
                776,         387.50,       253.3619,      1.5225,      3.1413,      0.0237,      0.0015,
                777,         388.00,       234.6714,      1.3896,      3.0469,      0.0230,      0.0012,
                778,         388.50,       215.8649,      1.3009,      3.2007,      0.0269,      0.0022,
                779,         389.00,       208.5251,      1.2450,      3.2920,      0.0259,      0.0127,
                780,         389.50,       205.7207,      1.2274,      3.2799,      0.0255,      0.0104,
                781,         390.00,       204.1854,      1.2142,      3.2517,      0.0252,      0.0066,
                782,         390.50,       203.9805,      1.2095,      3.2461,      0.0252,      0.0045,
                783,         391.00,       203.6757,      1.2012,      3.2341,      0.0251,      0.0047,
                784,         391.50,       206.5499,      1.1661,      3.2364,      0.0261,      0.0093,
                785,         392.00,       208.0317,      1.1441,      3.2125,      0.0257,      0.0090,
                786,         392.50,       210.0515,      1.1233,      3.2125,      0.0264,      0.0106,
                787,         393.00,       211.2478,      1.1096,      3.1950,      0.0261,      0.0308,
                788,         393.50,       213.0486,      1.1064,      3.1999,      0.0265,      0.0159,
                789,         394.00,       213.4055,      1.1079,      3.1919,      0.0262,      0.0191,
                790,         394.50,       214.1953,      1.1177,      3.1962,      0.0263,      0.0101,
                791,         395.00,       215.0192,      1.1163,      3.1834,      0.0257,      0.0298,
                792,         395.50,       208.9170,      1.0865,      3.0689,      0.0247,      0.0338,
                793,         396.00,       98.6292,      1.9025,      3.5656,      0.0239,      6.1725,
                794,         396.50,       181.5228,      1.8236,      3.0259,      0.0091,      11.4863,
                795,         397.00,       42.8380,      1.6443,      3.6151,      0.0266,      5.4164,
                796,         397.50,       303.2433,      1.6118,      3.1325,      0.0168,      0.0188,
                797,         398.00,       301.4664,      1.6010,      3.1148,      0.0166,      0.0045,
                798,         398.50,       300.8091,      1.5912,      3.1130,      0.0166,      0.0071,
                799,         399.00,       300.6448,      1.5870,      3.1097,      0.0166,      0.0018,
                800,         399.50,       300.2993,      1.5700,      3.1049,      0.0168,      0.0034,
                801,         400.00,       300.1468,      1.5626,      3.0999,      0.0167,      0.0021,
                802,         400.50,       299.6909,      1.5334,      3.0917,      0.0172,      0.0035,
                803,         401.00,       299.5188,      1.5270,      3.0880,      0.0173,      0.0012,
                804,         401.50,       298.6731,      1.4940,      3.0812,      0.0184,      0.0048,
                805,         402.00,       297.3796,      1.4834,      3.0673,      0.0183,      0.0035,
                806,         402.50,       295.6269,      1.4461,      3.0629,      0.0202,      0.0019,
                807,         403.00,       295.0501,      1.4399,      3.0572,      0.0203,      0.0005,
                808,         403.50,       295.2520,      1.4042,      3.0637,      0.0230,      0.0029,
                809,         404.00,       294.9875,      1.3983,      3.0601,      0.0232,      0.0009,
                810,         404.50,       291.3233,      1.3209,      3.0303,      0.0278,      0.0019,
                811,         405.00,       281.1861,      1.2608,      2.9177,      0.0274,      0.0063,
                812,         405.50,       270.6423,      1.2145,      2.8151,      0.0263,      0.0114,
                813,         406.00,       265.0458,      1.1902,      2.7621,      0.0257,      0.0048,
                814,         406.50,       262.7550,      1.1760,      2.7488,      0.0257,      0.0105,
                815,         407.00,       261.8467,      1.1712,      2.7433,      0.0255,      0.0002,
                816,         407.50,       261.8372,      1.1685,      2.7454,      0.0257,      0.0001,
                817,         408.00,       261.5302,      1.1692,      2.7444,      0.0256,      0.0000,
                818,         408.50,       261.4529,      1.1694,      2.7442,      0.0256,      0.0000,
                819,         409.00,       261.0234,      1.1703,      2.7432,      0.0254,      0.0000,
                820,         409.50,       260.9493,      1.1704,      2.7431,      0.0254,      0.0001,
                821,         410.00,       260.7361,      1.1708,      2.7429,      0.0253,      0.0000,
                822,         410.50,       260.6669,      1.1709,      2.7429,      0.0253,      0.0000,
                823,         411.00,       260.3268,      1.1714,      2.7428,      0.0252,      0.0000,
                824,         411.50,       260.3226,      1.1714,      2.7428,      0.0252,      0.0000,
                825,         412.00,       260.1206,      1.1717,      2.7430,      0.0251,      0.0000,
                826,         412.50,       259.9924,      1.1719,      2.7432,      0.0251,      0.0001,
                827,         413.00,       259.7084,      1.1707,      2.7467,      0.0250,      0.0001,
                828,         413.50,       259.5969,      1.1696,      2.7500,      0.0250,      0.0185,
                829,         414.00,       259.2648,      1.1677,      2.7681,      0.0251,      0.0005,
                830,         414.50,       259.1467,      1.1634,      2.8205,      0.0259,      0.0018,
                831,         415.00,       258.8149,      1.1633,      2.8206,      0.0258,      0.0000,
                832,         415.50,       258.8149,      1.1633,      2.8206,      0.0258,      0.0000,
                833,         416.00,       258.6707,      1.1629,      2.8210,      0.0258,      0.0000,
                834,         416.50,       258.5761,      1.1612,      2.8231,      0.0258,      0.0116,
                835,         417.00,       258.3378,      1.1541,      2.8291,      0.0257,      0.0001,
                836,         417.50,       258.3378,      1.1541,      2.8291,      0.0257,      0.0000,
                837,         418.00,       258.1149,      1.1515,      2.8307,      0.0257,      0.0000,
                838,         418.50,       257.1115,      1.1462,      2.8229,      0.0256,      0.0078,
                839,         419.00,       253.7338,      1.1279,      2.7990,      0.0252,      0.0142,
                840,         419.50,       250.5633,      1.1122,      2.7815,      0.0250,      0.0056,
                841,         420.00,       249.3845,      1.1061,      2.7747,      0.0248,      0.0025,
                842,         420.50,       248.8692,      1.1003,      2.9320,      0.0270,      0.0087,
                843,         421.00,       248.3593,      1.0980,      2.9320,      0.0270,      0.0000,
                844,         421.50,       247.9084,      1.0929,      2.9392,      0.0271,      0.0235,
                845,         422.00,       247.6897,      1.0916,      2.9397,      0.0270,      0.0000,
                846,         422.50,       247.5601,      1.0881,      2.9467,      0.0272,      0.0121,
                847,         423.00,       247.3663,      1.0832,      2.9539,      0.0273,      0.0000,
                848,         423.50,       247.3208,      1.0818,      2.9574,      0.0274,      0.0039,
                849,         424.00,       247.2692,      1.0805,      2.9592,      0.0274,      0.0000,
                850,         424.50,       247.2472,      1.0801,      2.9602,      0.0274,      0.0008,
                851,         425.00,       246.9747,      1.0767,      2.9648,      0.0275,      0.0000,
                852,         425.50,       246.9201,      1.0756,      2.9680,      0.0276,      0.0043,
                853,         426.00,       246.8192,      1.0743,      2.9697,      0.0276,      0.0000,
                854,         426.50,       245.3243,      1.0618,      2.9687,      0.0279,      0.0028,
                855,         427.00,       238.4819,      1.0198,      3.0016,      0.0284,      0.0112,
                856,         427.50,       231.3760,      0.9908,      2.9353,      0.0279,      0.0121,
                857,         428.00,       223.9097,      0.9593,      2.8608,      0.0269,      0.0142,
                858,         428.50,       218.3191,      0.9364,      2.8104,      0.0263,      0.0025,
                859,         429.00,       216.3276,      0.9276,      2.7913,      0.0260,      0.0002,
                860,         429.50,       216.9199,      0.9205,      2.8621,      0.0276,      0.0163,
                861,         430.00,       217.2390,      0.9126,      2.8843,      0.0284,      0.0007,
                862,         430.50,       217.2392,      0.9126,      2.8843,      0.0284,      0.0000,
                863,         431.00,       217.2392,      0.9126,      2.8843,      0.0284,      0.0000,
                864,         431.50,       217.1276,      0.9123,      2.8836,      0.0284,      0.0000,
                865,         432.00,       216.8581,      0.9115,      2.8979,      0.0283,      0.0001,
                866,         432.50,       216.8980,      0.9115,      2.9052,      0.0283,      0.0168,
                867,         433.00,       216.9127,      0.9104,      2.9250,      0.0284,      0.0001,
                868,         433.50,       216.9220,      0.9103,      2.9267,      0.0284,      0.0020,
                869,         434.00,       216.9399,      0.9099,      2.9316,      0.0284,      0.0000,
                870,         434.50,       214.7524,      0.9010,      2.9037,      0.0281,      0.0000,
                871,         435.00,       208.4608,      0.8770,      2.8343,      0.0273,      0.0084,
                872,         435.50,       202.2716,      0.8527,      2.7605,      0.0265,      0.0004,
                873,         436.00,       199.8901,      0.8456,      2.7597,      0.0264,      0.0130,
                874,         436.50,       198.2410,      0.8429,      2.7578,      0.0264,      0.0060,
                875,         437.00,       193.7115,      0.8247,      2.7005,      0.0257,      0.0018,
                876,         437.50,       189.5013,      0.8088,      2.6541,      0.0252,      0.0027,
                877,         438.00,       188.1510,      0.8036,      2.6378,      0.0249,      0.0000,
                878,         438.50,       188.5093,      0.8035,      2.6613,      0.0253,      0.0022,
                879,         439.00,       188.5683,      0.8035,      2.6632,      0.0254,      0.0001,
                880,         439.50,       189.1828,      0.7996,      2.6868,      0.0261,      0.0019,
                881,         440.00,       189.5077,      0.7968,      2.6943,      0.0263,      0.0002,
                882,         440.50,       189.5295,      0.7954,      2.6990,      0.0266,      0.0000,
                883,         441.00,       189.3891,      0.7950,      2.6985,      0.0265,      0.0000,
                884,         441.50,       189.4463,      0.7955,      2.7052,      0.0266,      0.0025,
                885,         442.00,       189.8489,      0.8075,      2.7648,      0.0266,      0.0267,
                886,         442.50,       187.9334,      0.8103,      2.7685,      0.0264,      0.0122,
                887,         443.00,       181.9311,      0.7875,      2.6953,      0.0255,      0.0099,
                888,         443.50,       175.9742,      0.7643,      2.6198,      0.0247,      0.0059,
                889,         444.00,       173.8969,      0.7574,      2.6007,      0.0244,      0.0097,
                890,         444.50,       173.7901,      0.7592,      2.6098,      0.0244,      0.0055,
                891,         445.00,       173.6719,      0.7592,      2.6117,      0.0244,      0.0000,
                892,         445.50,       173.7735,      0.7601,      2.6188,      0.0244,      0.0069,
                893,         446.00,       173.8790,      0.7610,      2.6276,      0.0244,      0.0000,
                894,         446.50,       174.0410,      0.7683,      2.6457,      0.0244,      0.0113,
                895,         447.00,       174.0476,      0.7727,      2.6575,      0.0244,      0.0000,
                896,         447.50,       174.0134,      0.7729,      2.6582,      0.0244,      0.0000,
                897,         448.00,       174.1641,      0.7806,      2.6805,      0.0243,      0.0000,
                898,         448.50,       174.1320,      0.7808,      2.6811,      0.0243,      0.0000,
                899,         449.00,       174.3862,      0.7858,      2.7024,      0.0244,      0.0000,
                900,         449.50,       173.6667,      0.7835,      2.6942,      0.0243,      0.0000,
                901,         450.00,       171.8282,      0.7790,      2.6969,      0.0241,      0.0000,
                902,         450.50,       169.6983,      0.7785,      2.7081,      0.0247,      0.0006,
                903,         451.00,       168.3236,      0.7881,      2.7298,      0.0245,      0.0129,
                904,         451.50,       167.5916,      0.8033,      2.7617,      0.0246,      0.0163,
                905,         452.00,       166.8373,      0.8082,      2.7696,      0.0245,      0.0048,
                906,         452.50,       167.2050,      0.8317,      2.8949,      0.0262,      0.0014,
                907,         453.00,       167.0879,      0.8322,      2.9144,      0.0264,      0.0001,
